Rank,Musica,Artista,Letra
1,Shape of You,Ed Sheeran," 
A club isn't the best place to find a lover
So the bar is where I go (Mm)
Me and my friends at the table doin' shots
Drinkin' fast and then we talk slow (Mm)
And you come over and start up a conversation with just me
And trust me, I'll give it a chance now (Mm)
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance and now I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

One week in, we let the story begin
We're goin' out on our first date (Mm)
You and me are thrifty, so go all-you-can-eat
Fill up your bag and I fill up a plate (Mm)
We talk for hours and hours about the sweet and the sour
And how your family is doin' okay (Mm)
And leave and get in a taxi, and kiss in the back seat
Tell the driver make the radio play and I'm singin' like

Girl, you know I want your love
Your love was handmade for somebody like me
Well, come on now, follow my lead
I may be crazy, don't mind me
Say, ""Boy, let's not talk too much""
Grab on my waist and put that body on me
Well, come on now, follow my lead
Come, come on now, follow my lead, mm
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Oh, I, oh, I, oh, I, oh, I
Well, I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you

Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is fallin' too
I'm in love with your body
And last night, you were in my room
And now my bed sheets smell like you
Every day, discoverin' somethin' brand new
Well, I'm in love with your body

Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Come on, be my baby, come on
Come on, be my baby, come on
I'm in love with your body
Every day, discoverin' somethin' brand new
I'm in love with the shape of you "
2,Despacito Remix,Luis Fonsi Daddy Yankee,"

Comin' over in my direction
So thankful for that, it's such a blessin', yeah
Turn every situation into heaven, yeah
Oh-oh, you are
My sunrise on the darkest day
Got me feelin' some kind of way
Make me wanna savor every moment slowly, slowly
You fit me tailor-made, love how you put it on
Got the only key, know how to turn it on
The way you nibble on my ear, the only words I wanna hear
Baby, take it slow so we can last long

¡Oh! Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (Oh, yeah)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)

Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bom, bom
Sabes que esa beba está buscando de mi bom, bom
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube
Sube, sube)

Quiero ver bailar tu pelo, quiero ser tu ritmo (Woah, woah)
Que le enseñes a mi boca (Woah, woah)
Tus lugares favoritos (Favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (Woah, woah)
Hasta provocar tus gritos (Woah, woah)
Y que olvides tu apellido

Despacito
This is how we do it down in Puerto Rico
I just wanna hear you screaming, ""¡Ay, bendito!""
I can move forever cuando esté contigo
¡Báilalo!
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (DY)
Despacito "
3,That's What I Like,Bruno Mars," 
Ayy, ayy, ayy
I got a condo in Manhattan
Baby girl, what's happenin'?
You and your ass invited
So go on and get to clappin'
So pop it for a player
Pop, pop it for me
Turn around and drop it for a player
Drop, drop it for me
I'll rent a beach house in Miami (-ami)
Wake up with no jammies (Nope)
Lobster tail for dinner
Julio, serve that scampi (Julio!)
You got it if you want it
Got, got it if you want it
Said, you got it if you want it
Take my wallet if you want it now

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like

I'm talkin' trips to Puerto Rico (Bih)
Say the word and we go (Say it)
You can be my freaka (Brrrt!)
Girl, I'll be your fleeko, Mamacita
I'll never make a promise that I can't keep
I promise that your smile ain't gon' ever leave
Shoppin' sprees in Paris
Everything 24 karats
Take a look in that mirror
Now tell me, who's the fairest?
Is it you? (Is it you?) Is it me? (Is it me?)
Say it's us (Say it's us) and I'll agree, baby

Jump in the Cadillac, girl, let's put some miles on it
Anything you want, just to put a smile on it
You deserve it, baby, you deserve it all
And I'm gonna give it to you

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
Sex by the fire at night
Silk sheets and diamonds all white
Lucky for you, that's what I like, that's what I like
Lucky for you, that's what I like, that's what I like
You say you want a good time
Well, here I am, baby, here I am, baby
Talk to me, talk to me, talk to me baby
Tell me, what's on your mind? (What's on your mind?)
If you want it, girl, come and get it
All this is here for you
Tell me, baby, tell me, tell me, baby
What you tryna do?

Gold jewelry shinin' so bright
Strawberry champagne on ice
Lucky for you, that's what I like, that's what I like (That's what I like, babe)
Lucky for you, that's what I like, that's what I like (Oh, oh)
Sex by the fire at night
Silk sheets and diamonds all white (All white)
Lucky for you, that's what I like, that's what I like (That's what I like, babe)
Lucky for you, that's what I like, that's what I like (Ooh, ooh, ooh) "
4,Humble,Kendrick Lamar,"
Nobody pray for me
It been that day for me
Way (Yeah, yeah)

Ayy, I remember syrup sandwiches and crime allowances
Finesse a nigga with some counterfeits, but now I'm countin’ this
Parmesan where my accountant lives, in fact, I'm downin' this
D’USSÉ with my boo bae, tastes like Kool-Aid for the analysts
Girl, I can buy your ass the world with my paystub
Ooh, that pussy good, won't you sit it on my taste bloods?
I get way too petty once you let me do the extras
Pull up on your block, then break it down: we playin' Tetris
A.m. to the p.m., p.m. to the a.m., funk
Piss out your per diem, you just gotta hate 'em, funk
If I quit your BM, I still ride Mercedes, funk
If I quit this season, I still be the greatest, funk
My left stroke just went viral
Right stroke put lil' baby in a spiral
Soprano C, we like to keep it on a high note
It's levels to it, you and I know

Bitch, be humble (Hol' up, bitch)
Sit down (Hol' up, lil’, hol’ up, lil' bitch)
Be humble (Hol’ up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol’ up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)
Be humble (Hol' up, hol' up)
Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)

Who that nigga thinkin' that he frontin' on Man-Man? (Man-Man)
Get the fuck off my stage, I'm the Sandman (Sandman)
Get the fuck off my dick, that ain't right
I make a play fucking up your whole life
I'm so fuckin' sick and tired of the Photoshop
Show me somethin' natural like afro on Richard Pryor
Show me somethin' natural like ass with some stretch marks
Still I take you down right on your mama couch in Polo socks
Ayy, this shit way too crazy, ayy, you do not amaze me, ayy
I blew cool from AC, ayy, Obama just paged me, ayy
I don't fabricate it, ayy, most of y'all be fakin', ayy
I stay modest 'bout it, ayy, she elaborate it, ayy
This that Grey Poupon, that Evian, that TED Talk, ayy
Watch my soul speak, you let the meds talk, ayy
If I kill a nigga, it won't be the alcohol, ayy
I'm the realest nigga after all

Bitch, be humble (Hol' up, bitch)
Sit down (Hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)
Be humble (Hol' up, hol' up)
Sit down (Hol' up, hol' up, lil', hol' up, lil' bitch)
Be humble (Hol' up, bitch)
Sit down (Hol' up, sit down, lil', sit down, lil' bitch)
Be humble (Hol' up, hol' up)
Bitch, sit down (Hol' up, hol' up, lil' bitch)
Be humble (Lil' bitch, hol' up, bitch)
Sit down (Hol' up, hol' up, hol' up, hol' up)"
5,Something Just Like This,The Chainsmokers Coldplay," 
I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spider-Man's control
And Batman with his fists
And clearly I don't see myself upon that list

But she said, ""Where d'you wanna go? How much you wanna risk?""
I'm not looking for somebody with some superhuman gifts
Some superhero, some fairytale bliss
Just something I can turn to, somebody I can kiss
I want something just like this

Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
I want something just like this

I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind of person that it fits

She said, ""Whered 'you wanna go? How much you wanna risk?""
I'm not looking for somebody with some superhuman gifts
Some superhero, some fairytale bliss
Just something I can turn to, somebody I can miss

I want something just like this
I want something just like this

Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Oh, I want something just like this
Doo-doo-doo, doo-doo-doo
Doo-doo-doo, doo, doo
Doo-doo-doo, doo-doo-doo
Where d'you wanna go? How much you wanna risk?
I'm not looking for somebody with some superhuman gifts
Some superhero, some fairytale bliss
Just something I can turn to, somebody I can kiss
I want something just like this

Oh, I want something just like this
Oh, I want something just like this
Oh, I want something just like this "
6,Bad and Boujee,Migos,"
You know, young rich niggas
You know somethin', we ain't really never had no old money
We got a whole lotta new money though, hah
(If Young Metro don't trust you, I'm gon' shoot you)
Hey

Raindrop (Drip), drop-top (Drop-top)
Smokin' on cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope)
My niggas is savage, ruthless (Hey)
We got 30s and hundred-rounds too (Glah)

Offset, woo, woo, woo, woo, woo
Rackaids on rackaids (Racks), got back-ends on back-ends
I'm ridin' around in a coupe (Coupe)
I take your bih' right from you (You)
Bitch, I'm a dog, roof (Grr)
Beat the ho walls loose (Hey)
Hop in the frog, whoo (Skrrt)
I tell that bih' to come comfort me (Comfort me)
I swear these niggas is under me (Hey)
They hate and the devil keep jumpin' me (Jumpin' me)
Bankrolls on me keep me company (Cash)
Ayy, we do the most (Most)
Yeah, pull up in Ghosts (Woo)
Yeah, my diamond's a choker (Glah)
Holdin' the fire with no holster (Blaow)
Rick the Ruler, diamonds cooler (Cooler)
This a Rollie, not a Muller (Hey)
Dabbin' on 'em like the usual (Dab)
Magic with the brick, do voodoo (Magic)
Courtside with a bad bitch (Bitch)
Then I send the bitch through Uber (Go)
I'm young and rich and plus I'm bougie (Hey)
I'm not stupid so I keep the Uzi (Rrah)
Rackaids on rackaids, got back-ends on back-ends
So my money makin' my back ache (Aagh)
You niggas got a low Act rate (Act)
We from the Nawf, yeah, Dat Way (Nawf)
Fat Cookie blunt in the ashtray (Cookie)
Two bitches, just national smash day (Smash)
Hop in the Lamb', have a drag race (Skrrt)
I let them birds take a bath, bae (Brr)

Raindrop (Drip), drop-top (Drop-top)
Smokin' on cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope)
My niggas is savage, ruthless (Hey)
We got 30s and hundred-rounds too (Glah)

Pour a four, I'm droppin' muddy, outer space, Kid Cudi (Drank)
Introduce me to your bitch as wifey and we know she sluttin' (Bitch)
Broke a brick down, Nutty Buddy, now that nigga duckin' (Phew)
Don't move too fast, I might shoot ya (Huh?)
Draco bad and bougie (Draco)
I'm always hangin' with shooters (Brrah)
Might be posted somewhere secluded (Private)
Still be playin' with pots and pans, call me Quavo Ratatouille (Cook it up)
Run with that sack, call me Boobie (Run with it)
When I'm on stage, show me boobies (Ayy)
Ice on my neck, I'm the coolest (Ice)
Hop out the suicide with the Uzi (Pew-pew-pew)
I pull up, I pull up, I pull up
I hop out with all of the drugs and the good luck (Skrrt)
I'm cookin', I'm cookin', I'm whippin'
I'm whippin' until it rock up, let it lock up (Lock up)
I gave her ten racks
I told her go shoppin' and spend it all at the pop up (Ten)
These bitches, they fuck and suck dick
And they bustin' for Instagram, get your clout up
Uh, yeah, that way (Yeah)
Float on the track like a Segway (Go)
Yeah, that way (Dat way)
I used to trap by the Subway (Trappin', trappin')
Yeah, that way (Go)
Young nigga trap with the AK (Rrah, uh)
Yeah, that way (Yeah)
Big dyke ho, get the door, Macy Gray (Hey)
Raindrop (Drip), drop-top (Drop-top)
Smokin' on cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Blaow)
My niggas is savage, ruthless (Savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope, huh?)
My niggas is savage, ruthless (Hey, what?)
We got 30s and hundred-rounds too (Glah, Lil Uzi)

Yeah, yeah, yeah, yeah, yeah, yeah (Yeah)
My bitch, she bad to the bone (She what?)
Ayy, wait, these niggas watchin'
I swear to God they be my clones (They watchin')
Yeah, hey, huh
Switchin' my hoes like my flows (What?)
Switchin' my flows like my clothes (Like what?)
Keep on shootin' that gun, don't reload (Damn)
Ooh, ooh, now she want fuck with my crew (My crew)
'Cause the money come all out the roof (Damn, damn)
Drive the 'Rari, that bitch got no roof (Skrrt)
Wait, what kind of 'Rari? (Wait) 458 (Damn)
All of these niggas, they hate (They hate)
Try to hide, shoot through the gate (Wow)
Look, go to strip club, make it rain, yeah
So much money they use rakes (They use rakes)
Count a hundred thousand in your face (In your face)
Yeah, then put 300 right in the safe (Yeah)
Met her today, yeah (Ooh)
She talk to me like she knew me, yeah (Ooh)
Go to sleep in a jacuzzi, yeah (Yeah)
Wakin' up right to a two-piece, yeah
Countin' that paper like loose-leaf, yeah
Gettin' that chicken with blue cheese, yeah
Boy, you so fake, like my collar, you snakin'
I swear to God that be that Gucci (Ayy)
And you know we winnin' (Winnin')
Yeah, we is not losin'
Try to play your song, it ain't move me (What?)
Saw your girl once, now she choosin', yeah (Hey!)
Raindrop (Drip), drop-top (Drop-top)
Smokin' on cookie in the hotbox (Cookie)
Fuckin' on your bitch, she a thot, thot (Thot, yeah)
Cookin' up dope in the crockpot (Pot)
We came from nothin' to somethin', nigga (Hey)
I don't trust nobody, grip the trigger (Nobody, yeah)
Call up the gang and they come and get ya (Gang)
Cry me a river, give you a tissue (Hey, Lil Uzi)
My bitch is bad and bougie (Bad, she bad)
Cookin' up dope with a Uzi (Blaow, cookin' up, cookin' up)
My niggas is savage, ruthless (Savage, they savage)
We got 30s and hundred-rounds too (Grrah)
My bitch is bad and bougie (Bad)
Cookin' up dope with a Uzi (Dope, what?)
My niggas is savage, ruthless (Hey, yeah)
We got 30s and hundred-rounds too (Lil Uzi) "
7,Closer,The Chainsmokers," 
Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older

You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older

Older
We ain't ever gettin' older
Older
No, we ain't ever gettin' older "
8,Body Like a Back Road,Sam Hunt," 
Got a girl from the Southside, got braids in her hair
First time I seen her walk by, man I 'bout fell up out my chair
Had to get her number, it took me like six weeks
Now me and her go way back like Cadillac seats

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

The way she fit in them blue jeans, she don't need no belt
But I can turn them inside out, I don't need no help
Got hips like honey, so thick and so sweet, man
And ain't no curves like hers on them downtown streets

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

We're out here in the boondocks with the breeze and the birds
Tangled up in the tall grass with my lips on hers
On a highway to heaven, headed south of her smile, mmm
Get there when we get there, every inch is a mile

Body like a back road, drivin' with my eyes closed
I know every curve like the back of my hand
Doin' fifteen in a thirty, I ain't in no hurry
I'ma take it slow just as fast as I can

I'ma take it slow
Just as fast as I can (Body like a back road, drivin' with my eyes closed)
Got braids in her hair (I know every curve like the back of my hand) "
9,Believer,Imagine Dragons," 
First things first
I'ma say all the words inside my head
I'm fired up and tired of
The way that things have been, oh-ooh
The way that things have been, oh-ooh

Second things second
Don't you tell me what you think that I could be
I'm the one at the sail
I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulkin' to the masses
Writing my poems for the few
That look at me, took to me, shook at me, feelin' me
Singing from heartache from the pain
Taking my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the...

Pain! You made me a, you made me a
Believer, believer
Pain! You break me down, you build me up
Believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from…
Pain! You made me a, you made me a
Believer, believer

Third things third
Send a prayer to the ones up above
All the hate that you've heard
Has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was chokin' in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…

Pain! You made me a, you made me a
Believer, believer
Pain! You break me down, you build me up
Believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from…
Pain! You made me a, you made me a
Believer, believer
Last things last
By the grace of the fire and the flames
You're the face of the future
The blood in my veins, oh-ooh
The blood in my veins, oh-ooh

But they never did, ever lived, ebbin' and flowin'
Inhibited, limited 'til it broke open and rained down
It rained down, like…

Pain! You made me a, you made me a
Believer, believer
Pain! You break me down, you build me up
Believer, believer
Pain! Oh, let the bullets fly, oh, let them rain
My life, my love, my drive, it came from…
Pain! You made me a, you made me a
Believer, believer "
10,Congratulations,Post Malone," 
Yeah, yeah
Yeah (Hey)

My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh)
They ain't never had the dedication (Uh, uh)
People hatin', say we changed and look, we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh)

They was never friendly, yeah
Now I'm jumping out the Bentley, yeah
And I know I sound dramatic, yeah
But I know I had to have it, yeah
For the money, I'm a savage, yeah
I be itching like an addict, yeah
I'm surround by twenty bad bitch, yeah
But they didn't know me last year, yeah
Everyone wanna act like they important (Yeah-yeah-yeah, yeah-yeah-yeah)
But all that mean nothing when I saw my dough, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everyone countin' on me drop the ball, yeah (Yeah-yeah-yeah, yeah-yeah-yeah)
Everything custom like I'm at the border, yeah, yeah
If you fuck with winning, put your lighters to the sky
How could I make cents when I got millions on my mind?
Coming with that bullshit, I just put it to the side
Balling since a baby, they could see it in my eyes

My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Congratulations)
Worked so hard, forgot how to vacation (Ooh)
They ain't never had the dedication (Uh, uh, ayy)
People hatin', say we changed and look we made it (Uh, uh)
Yeah, we made it (Uh, uh, uh, yeah)

I was patient (Yeah, oh)
I was patient (Ayy, uh)
Now I can scream that we made it (We made it)
Now everywhere, everywhere I go, they say 'gratulation (Uh)
Young nigga, young nigga graduation (Yeah)
I pick up the rock and I ball, baby (Ball)
I'm looking for someone to call, baby (Brr)
But right now, I got a situation (Ayy)
Nothin' but old Ben, Ben Franklins (Cash)
Big rings (Woo), champagne (Champagne)
My life is like a ball game (Ball game)
But instead, I'm in the trap, though (Trap, though)
Pot so big, call it Super Bowl (Super Bowl)
Super Bowl, call the hoes (Brr), get in the Rolls (Skrrt)
Top-floor lifestyle (Top), Huncho and Post (Yeah, ayy)
Malone (Ayy), I got a play on my phone (Ayy)
You know what I'm on (Ayy), Huncho Houdini, it's gone (Ayy)
My mama called, seen you on TV, son
Said shit done changed ever since we was on
I dreamed it all ever since I was young
They said I wouldn't be nothing
Now they always say, ""Congratulations"" (Ayy, uh, uh, uh)
Worked so hard, forgot how to vacation (Uh-huh, ooh)
They ain't never had the dedication (Ayy, uh, uh)
People hatin', say we changed and look we made it (Yeah,  uh, uh)
Yeah, we made it (Ayy)

Hey, hey, hey, hey
Hey, hey, hey, hey "
