Rank,Musica,Artista,Letra
1,Yeah!,Usher  Lil Jon Ludacris," 
Peace up, A-Town down
Yeah (Yeah)
Okay (Okay)
Usher, Usher
And Lil Jon
Yeah-yeah-yeah, yeah, yeah, yeah
Yeah-yeah-yeah, yeah, yeah, yeah (What it do, shawty?)
Let's go

Up in the club with my homies
Tryna get a little V-I, keep it down on the low-key (Low-key)
'Cause you know how it is (Hey, hey)
I seen shorty, she was checkin' up on me
From the game she was spittin' in my ear, you would think that she know me (Know me)
I decided to chill (Okay)
Conversation got heavy (Hey)
She had me feelin' like she's ready to blow
Watch out! (Oh)
Watch out!
She was sayin', ""Come get me"" (Come get me)
So I got up and followed her to the floor
She said, ""Baby, let's go"" (Let's go)
When I told her, I said

Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

So she's all up in my head now
Got me thinkin' that it might be a good idea to take her with me (With me)
'Cause she's ready to leave (Ready to leave now; oh, let's go)
Now I gotta keep it real now (Yeah)
'Cause on a one-to-ten, she's a certified twenty
But that just ain't me (Hey)
'Cause I don't know if I take that chance
Just where's it gonna lead
But what I do know is the way she dance
Make shorty alright with me (Hey, hey, hey)
The way she get low
I'm like, ""Yeah, just work that out for me""
She asked for one more dance
And I'm like, ""Yeah, how the hell am I supposed to leave?"" And I said (Let's go, bring the beat back)
Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah (Hey, hey, Luda)

Watch out, my outfit's ridiculous
In the club, lookin' so conspicuous
And raow, these women all on the prowl
If you hold the head steady, I'ma milk the cow (Yeah)
And forget about game, I'ma spit the truth (What)
I won't stop 'til I get 'em in they birthday suit (Yeah)
So gimme the rhythm and it'll be off with they clothes
Then bend over to the front and touch your toes
I left the Jag' and I took the Rolls
If they ain't cuttin', then I put 'em on foot patrol (Let's go, ow)
How you like me now
When my pinky's valued over three hundred thousand?
Let's drink, you the one to please (Yeah)
Ludacris fill cups like double Ds (Yeah)
Me and Ursh once more and we leaves 'em dead
We want a lady in the street, but a freak in the bed, that say
Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

Take that and rewind it back
Lil Jon got the beat that make ya booty go
Take that, rewind it back
Usher got the voice make ya booty go
Take that, rewind it back
Ludacris got the flow that make ya booty go
Take that, rewind it back
Lil Jon got the beat that make ya booty go
 "
2,Burn,Usher," 
Girl, I understand why
See, it's burnin' me to hold on to this
I know this is somethin' I gotta do
But that don't mean I want to
What I'm tryna say is that, I... love you, I just...
I feel like this... is comin' to an end
And it's better for me to... let it go now
Than hold on and hurt you
But I gotta let it burn

It's gon' burn for me to say this, but it's comin' from my heart
It's been a long time coming, but we done been fell apart
Really wanna work this out, but I don't think you're gonna change
I do, but you don't, think it's best we go our separate ways
Tell me why I should stay in this relationship
When I'm hurtin', baby, I ain't happy, baby
Plus there's so many other things I gotta deal with
I think that you should let it burn

When your feeling ain't the same and your body don't want to
But you know, gotta let it go 'cause the party ain't
Jumpin' like it used to, even though this might bruise you (No, no)
Let it burn (Yeah), let it burn (Ooh), gotta let it burn
Deep down, you know it's best for yourself, but you
Hate the thought of her bein' with someone else
But you know that it's over, we knew it was through (Yeah)
Let it burn (Let it burn, whoa), let it burn (Let it burn), gotta let it burn

Sendin' pages I ain't supposed to
Got somebody here, but I want you
'Cause the feelin' ain't the same
Find myself callin' her your name
Ladies, tell me, do you understand?
Now, all my fellas, do you feel my pain?
It's the way I feel
I know I made a mistake, now, it's too late
I know she ain't coming back
What I gotta do now (Now) to get my shorty back?
Ooh, ooh, ooh, ooh
Man, I don't know what I'm gonna do without my boo
You've been gone for too long
It's been fifty-leven days, umpteen hours
I'ma be burnin' 'til you return (Let it burn)

When your feeling ain't the same and your body don't want to (Oh)
But you know, gotta let it go 'cause the party ain't (Cause the party ain't)
Jumpin' like it used to, even though this might bruise you
Let it burn (Let it burn, let it burn, you gon' learn)
Let it burn (Gotta let it burn, oh), gotta let it burn (Oh)
Deep down, you know it's best for yourself, but you
Hate the thought of her bein' with someone else
But you know that it's over (Know it's over), we knew it was through (Know it's through)
Let it burn, let it burn, gotta let it burn (Ooh, girl, I)
I'm twisted 'cause one side of me is tellin' me that I need to move on
On the other side, I wanna break down and cry, ooh
I'm twisted 'cause one side of me is tellin' me that I need to move on
On the other side, I wanna break down and cry, yeah
Ooh, ooh, ooh, ooh, ooh, ooh
Ooh, ooh, ooh (Can you feel me burning?)
Ooh, ooh, ooh, ooh, ooh, ooh
So many days, so many hours
I'm still burnin' 'til you return (Let it burn)

When your feeling ain't the same and your body don't want to
But you know, gotta let it go 'cause the party ain't
Jumpin' like it used to, even though this might bruise you
Let it burn (Let it burn, let it burn), let it burn, gotta let it burn
Ooh, deep down, you know it's best for yourself, but you
Hate the thought of her bein' with someone else
But you know that it's over, we knew it was through
Let it burn (Let it burn, let it burn, let it burn)
Let it burn, gotta let it burn "
3,If I Ain't Got You,Alicia Keys,"
Mm-mm
Mm-mm, oh
Mm-mm

Some people live for the fortune
Some people live just for the fame
Some people live for the power, yeah
Some people live just to play the game

Some people think that the physical things
Define what's within
And I've been there before, but that life's a bore
So full of the superficial

Some people want it all
But I don't want nothin' at all
If it ain't you, baby
If I ain't got you, baby
Some people want diamond rings
Some just want everything
But everything means nothin'
If I ain't got you, yeah

Some people search for a fountain
That promises forever young (Ya know)
Some people need three dozen roses
And that's the only way to prove you love them

Hand me the world on a silver platter
And what good would it be?
With no one to share
With no one who truly cares for me

Some people want it all
But I don't want nothin' at all
If it ain't you, baby
If I ain't got you, baby
Some people want diamond rings
Some just want everything
But everything means nothin'
If I ain't got you, you, you
Some people want it all
But I don't want nothin' at all
If it ain't you, baby
If I ain't got you, baby
Some people want diamond rings
Some just want everything
But everything means nothin'
If I ain't got you, yeah
If I ain't got you with me, baby
Oh, ooh
Said nothin' in this whole wide world don't mean a thing
If I ain't got you with me, baby "
4,This Love,Maroon 5," 
I was so high I did not recognize
The fire burning in her eyes
The chaos that controlled my mind
Whispered goodbye as she got on a plane
Never to return again
But always in my heart, oh

This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice 'cause I won't say goodbye anymore

Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh, oh

I tried my best to feed her appetite
Keep her coming every night
So hard to keep her satisfied, oh
Kept playing love like it was just a game
Pretending to feel the same
Then turn around and leave again
But I know

This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice 'cause I won't say goodbye anymore

Whoa, oh, oh
Whoa, oh, oh
Whoa, oh, oh, oh

I'll fix these broken things, repair your broken wings
And make sure everything's alright (It's alright, it's alright)
My pressure on your hips, sinking my fingertips
Every inch of you 'cause I know that's what you want me to do

This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me
And I have no choice 'cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And my heart is breaking in front of me
She said goodbye too many times before
This love has taken its toll on me (Oh, yeah, yeah)
She said goodbye too many times before (Yeah)
And her heart is breaking in front of me (Yeah)
I have no choice, 'cause I won't say goodbye anymore
This love has taken its toll on me
She said goodbye too many times before
And her heart is breaking in front of me "
5,The Way You Move,OutKast  Sleepy Brown," 
Boom, boom, boom
Ha-ha!

Ready for action, nip it in the bud
We never relaxing, OutKast is everlasting
Not clashing, not at all
But, see, my nigga went to do a little acting
Now, that's for anyone asking, give me one, pass 'em
Drip-drip-drop—there goes an eargasm
Now you cumming out the side of your face
We tapping right into your memory banks (Thanks!)
So click it or ticket, let's see your seat belt fastened
Trunk rattling, like two midgets in the backseat 'rassling
Speakerboxxx vibrate the tag
Make it sound like aluminum cans in the bag
But I know y'all wanted that 808
Can you feel that B-A-S-S, bass?
But I know y'all wanted that 808
Can you feel that B-A-S-S, bass?
I like the way you move
I like the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way
I love the way you move
I love the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way

The whole room fell silent, the girls all paused with glee
Turning left, turning right, are they looking at me?
Well, I was looking at them, there, there, on the dance floor
Now, they got me in the middle, feeling like a man-whore
'Specially the big girl
Big girls need love, too—no discrimination here, squirrel
So keep your hands off my cheeks
And let me study how you ride the beat, you big freak
Skinny-slim women got the cameltoe within them
You can hump them, lift them, bend them
Give them something to remember
Yell out ""Timber!"" when you fall through the chop shop
Take a deep breath and exhale
Your ex-male-friend-boyfriend was boring as hell
But let me listen to the story you tell
And we can make moves like a person in jail: on the low, ho
I like the way you move
I like the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way
I love the way you move
I love the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way
Hey, baby, girl, don't you stop me
Come on, lady, dance all around me
You (Look so fine) You look so fine (Look so fine)
You driving me (Out of my) Out of my mind
(Out my mind) Ooh, baby, if I could
I would just leave with you, baby
Oooh, 'cause you light me, and excite me
And you know, you got me, baby, ooh!
I like the way you move (I like the way you move)
I like the way you move (Ooh, you're so sexy, baby), woo-ooh-ooh
I love the way you move
I love the way (Oh, oh), I love the way (Ooh)
I love the way you move (I love the way you move)
I love the way you move (Ooh, you're so sexy, baby), woo-ooh-ooh
I love the way you move
I love the way, I love the way
I like the way you move
I like the way you move, woo-ooh-ooh
I love the way you move
I love the way, I love the way... "
6,The Reason,Hoobastank," 
I'm not a perfect person
There's many things I wish I didn't do
But I continue learning

I never meant to do those things to you
And so I have to say before I go
That I just want you to know

I've found a reason for me
To change who I used to be
A reason to start over new
And the reason is you

I'm sorry that I hurt you
It's something I must live with every day
And all the pain I put you through

I wish that I could take it all away
And be the one who catches all your tears
That's why I need you to hear

I've found a reason for me
To change who I used to be
A reason to start over new
And the reason is you

And the reason is you
And the reason is you
And the reason is you

I'm not a perfect person

I never meant to do those things to you
And so I have to say before I go
That I just want you to know

I've found a reason for me
To change who I used to be
A reason to start over new
And the reason is you
I've found a reason to show
A side of me you didn't know
A reason for all that I do
And the reason is you "
7,I Don't Wanna Know,Mario Winans  Enya P. Diddy,"
Hold up, let me answer my phone
Some bitch callin' me about some bullshit probably
I'ma call you right back, I'm doin' this mixtape right now
Now back to what I was sayin'...
I just can't believe this, man
It's just another night of these thoughts
Can't get this out of my head
Yeah

Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know
Oh, oh, baby
I think about it when I hold you
When lookin' in your eyes, I can't believe
I don't need to know the truth
Baby, keep it to yourself

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know

Did he touch you better than me? (Touch you better than me)
Did he watch you fall asleep? (Watch you fall asleep, baby)
Did you show him all those things that you used to do to me? (Oh, do to me, baby)
If you're better off that way (Better off that way)
Baby, all that I can say (All that I can say)
Just gonna do your thing and don't come back to me
(Oh, stay away from me, baby)
I don't wanna know where your whereabouts or how you're movin'
I know when you in the house or when you're cruisin' (That's right)
It's been proven, my love you're abusin'
And I can't understand how a man got you choosin' (Yeah)
Undecided, I came and provided
My undivided, you came and denied it (Why?)
Don't even try it, I know when you lyin' (I know when you lyin')
Don't even do that, I know why you cryin' (Stop cryin')
I'm not applyin' no pressure, just wanna let you know
That I don't wanna let you go (I don't wanna let you go)
And I don't wanna let you leave
Can't say I didn't let you breathe
Gave you extra cheese (C'mon), put you in the SUV
You wanted ice so I made you freeze
Made you hot like the West Indies (That's right)
Now it's time you invest in me
'Cause if not, then it's best you leave
Holla, yeah
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please don't let it show
Oh, baby, I don't wanna know "
8,Hey Ya!,OutKast,"
One, two, three, uh!

My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (C'mon)

Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!

You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Don't want to meet your daddy
Hey ya! (Uh-oh)
Just want you in my Caddy (Uh-oh)
Hey ya! (Uh-oh)
Don't want to meet your mama (Uh-oh)
Hey ya! (Uh-oh)
Just want to make you cum-a' (Uh-oh)
Hey ya! (Uh-oh)
I'm, I'm, I'm just being honest (Uh-oh)
Hey ya!
I'm just being honest

Hey, all right now, all right now, fellas (Yeah?)
Now, what's cooler than being cool? (Ice Cold!)
I can't hear ya
I say what's, what's cooler than being cool? (Ice Cold!)
All right, all right, all right, all right, all right, all right, all right, all right
All right, all right, all right, all right, all right, all right
Okay now, ladies (Yeah?)
Now, we gon' break this thing down in just a few seconds
Now, don't have me break this thing down for nothing
Now, I want to see y'all on your baddest behavior
Lend me some sugar, I am your neighbor
Ah, here we go!
Shake it, sh-shake it, shake it, sh-shake it (Uh-oh)
Shake it, sh-shake it, shake it, shake it, sh-shake it (Uh-oh)
Shake it like a Polaroid picture, hey ya!
Shake it, sh-shake it, shake it, sh-shake it
Shake it, shake it (Okay), shake it, sugar
Shake it like a Polaroid picture

Now, all the Beyoncés and Lucy Lius
And baby dolls, get on the floor (Get on the floor)
You know what to do, oh, you know what to do
You know what to do

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh, hey ya!)
Hey ya! (Uh-oh) Hey ya! (Oh, oh, uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! Hey ya! "
9,Goodies,Ciara  Petey Pablo," 
My goodies, my goodies, my goodies
Not my goodies

I got a sick reputation for handlin' broads
All I need is me a few seconds or more (A few seconds or more)
And it's a wrap, tell valet to bring my 'Lac
And I ain't comin' back
So you can put a car right there (Put a car right there)
I'm the truth, and I ain't got nothin' to prove
And you can ask anybody 'cause they seen me do it (They seen me do it)
Barricades? I run right through 'em, used to 'em
Throw all the dirt you want, I'm used to it (It's no use)
You still won't have a pin-up in a fabulous room
On her back, pickin' out baskets of fruit (I love you, boo)
Yeah, Freak and Petey love you too (Yeah), ha-ha
You know how I do it (That goodie, goodie)

You may look at me and think that I'm just a young girl
But I'm not just a young girl
Baby, this is what I'm lookin' for
Sexy, independent, gotta spend it type that's gettin' his dough
I'm not bein' too dramatic, that's the way I gotta have it

I bet you want the goodies (Ugh)
Bet you thought about it (Yeah)
Got you all hot and bothered (Ow)
Mad 'cause I talk around it
If you're lookin' for the goodies
Keep on lookin', 'cause they stay in the jar
Oh-oh, oh-oh, oh-oh, oh-oh, yeah

Just because you drive a Benz
I'm not goin' home with you
You won't get no nookie or the cookies, I'm no rookie
If you ain't sexy, independent
I ain't with it, so you already know
I'm not bein' too dramatic, that's the way I gotta have it
You may talk slick, tryna hit, but I'm not dumb
I'm not bein' too dramatic, it's just how I gotta have it

I bet you want the goodies (Ugh)
Bet you thought about it (Yeah)
Got you all hot and bothered (Ow)
Mad 'cause I talk around it
If you're lookin' for the goodies
Keep on lookin', 'cause they stay in the jar
Oh-oh, oh-oh, oh-oh, oh-oh, yeah
So damn hot, but so young (So young)
You ain't got milk on ya tongue, slow down, lil' one
We ain't got long
Hey shorty, you little thing (Wait a minute)
You think you bad but you ain't bad
I'll show you what bad is
Bad is when you're capable of beatin' the bag
I've been workin' at it ever since I came to this planet
I ain't quite there yet, but I'm gettin' better at it
Matter of fact, let me tell it to you one mo' 'gain
All I got to do is tell a girl who I am (Petey)
Ain't ne'er chick in here that I can't have
Bada boom, bada bam, ba-bam (I'm Bad)

You're insinuating that I'm hot
But these goodies, boy, are not
Just for any of the many men that's tryna get on top
No, you can't call me later
And I don't want your number
I'm not changin' stories
Just respect the play I'm callin'

I bet you want the goodies (Ugh)
Bet you thought about it (Yeah)
Got you all hot and bothered (Ow)
Mad 'cause I talk around it
If you're lookin' for the goodies
Keep on lookin', 'cause they stay in the jar
Oh-oh, oh-oh, oh-oh, oh-oh, yeah
I bet you want the goodies (Ugh)
Bet you thought about it (Yeah)
Got you all hot and bothered (Ow)
Mad 'cause I talk around it
If you're lookin' for the goodies
Keep on lookin', 'cause they stay in the jar
Oh-oh, oh-oh, oh-oh, oh-oh, yeah
Ugh, yeah, ow, ugh, ugh, ugh, ugh "
10,Lean Back,Terror Squad  Fat Joe Remy Ma," 
Owwwwww! Yeah! My niggas, ahah
Throw your hands in the air right now, man!
Feel this shit right here, Scott Storch, nigga
Yeah Khaled, I see you nigga, ShowBiz, Born Lord
Uh, yeah, uh, yo

I don't give a fuck about your faults or mishappens
Nigga, we from the Bronx, New York, shit happens
Kids clappin', love to spark the place
Half the niggas in the Squad got a scar on their face
It's a cold world and this is ice
Half a mil' for the charm, nigga, this is life
Got the Phantom in front of the building, Trinity Ave
Ten years been legit, they still figure me bad
As a youngin, was too much to cope with
Why you think, muh'fuckers nicknamed me Cook Coke shit?
Should've been called Armed Robbery
Extortion, or maybe Grand Larceny
I did it all, I put the pieces to the puzzle
Just as long, I knew me and my peoples was gon' bubble
Came out the gate on some Flo-Jo shit
Fat nigga with the shotty was the logo, kid

I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)

R to the Ezzy, M to the Yzzy
My arms stay breezy, the Don stay flizzy
Got a date at 8, I'm in the 7-4-fizzive
And I just bought a bike so I can ride 'til I die
With a matchin' jacket, 'bout to cop me a mansion
My niggas in the club, but you know they not dancin'
We gangsta, and gangstas don't dance, we boogie
So never mind how we got in here with burners and hoodies
Listen, we don't pay admission and the bouncers don't check us
And we walk around the metal detectors
And there really ain't a need for a V.I.P. section
In the middle of the dance floor reckless, check it
Said he, liked my necklace, started relaxin'
Now that's what the fuck I call a chain reaction
See, money ain't a thang, nigga, we still the same niggas
Flows just changed, now we 'bout to change the game, nigga

I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
Now we living better now, Coogi sweater now
And that G4 can fly through any weather now
See, niggas get tight when you worth some millions
This is why I sport the chinchilla, to hurt they feelings
You can find Joe Crack at all type of shit
Out in Vegas front row to all the fights and shit
If 5-0 boy come then they'd proudly squeal
Cause half these rappers they blow like Derek Foreal
If you cross the line, damn right I'm gon' hurt you
These faggot niggas even made gang signs commercial
Even Lil' Bow Wow throwin' it up
B2K Crip walkin' like, ""That's what's up!""
Kay keep tellin' me to speak about the Rucker
Matter of fact, I don't wanna speak about the Rucker
Not even Pee Wee Kirkland could imagine this
My niggas didn't have to play to win the championship

I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the Rockaway
Now lean back, lean back
Lean back, lean back (come on!)
Yeah (Can you hear me?)
Bronx, BX borough, Terror Squad, uh
Big Pun forever, Tone Montana forever, uh (Can you hear me?)
Yeah, streets is ours, come on
Nah man, it ain't never gon' stop
, Raul, JB, , come on "
