Rank,Musica,Artista,Letra
1,Happy,Pharrell Williams," 

It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way, huh

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do

Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, don’t waste your time, here's why

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey Come On Uh,)

(Happy), Bring me down
Can't nothing (Happy), bring me down
My level's too high to (Happy), bring me down
Can't nothing (Happy), bring me down, I said
(Let me tell you now)
(Happy, Happy, Happy, Happy,) Bring me down
Can't nothing (Happy, Happy, Happy, Happy,) bring me down
My level's too high to (Happy, Happy, Happy, Happy,) bring me down
Can't nothing (Happy, Happy, Happy,) bring me down, I said

(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Hey Come On Uh,)
(Happy, Happy, Happy, Happy,) Bring me down
Can't nothing (Happy, Happy, Happy, Happy,) bring me down
My level's too high to (Happy, Happy, Happy, Happy,) bring me down
Can't nothing (Happy, Happy, Happy,) bring me down, I said...
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do (Come on) "
2,Dark Horse,Katy Perry ," 
Yeah, y'all know what it is
Katy Perry, Juicy J
Uh-huh, let's rage

I knew you were, you were gonna come to me
And here you are, but you better choose carefully
'Cause I, I'm capable of anything
Of anything, and everything

Make me your Aphrodite
Make me your one and only
But don't make me your enemy (Enemy)
Your enemy (Your enemy), your enemy

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no goin' back

Mark my words, this love will make you levitate
Like a bird, like a bird without a cage
We're down to earth if you choose to walk away
Don't walk away (Walk away)

It's in the palm of your hand now, baby
It's a yes or a no, no maybe
So just be sure before you give it all to me
All to me, give it all to me

So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no goin' back

She's a beast, I call her Karma (Come back)
She eat your heart out like Jeffrey Dahmer (Woo)
Be careful, try not to lead her on
Shawty heart is on steroids 'cause her love is so strong
You may fall in love when you meet her (Meet her)
If you get the chance, you better keep her (Keep her)
She's sweet as pie, but if you break her heart
She turn cold as a freezer (Freezer)
That fairy tale ending with a knight in shining armor
She can be my sleepin' beauty, I'm gon' put her in a coma (Woo)
Damn, I think I love her, shawty so bad, I'm sprung and I don't care
She ride me like a roller coaster, turn the bedroom into a fair (A fair)
Her love is like a drug, I was tryna hit it and quit it
But lil' mama so dope, I messed around and got addicted
So you wanna play with magic?
Boy, you should know what you're fallin' for (You should know)
Baby, do you dare to do this?
'Cause I'm comin' at you like a dark horse (Like a dark horse)
Are you ready for, ready for (Ready for)
A perfect storm, perfect storm? (A perfect storm)
'Cause once you're mine, once you're mine (Mine)
There's no goin' back
 "
3,All of Me,John Legend," 
What would I do without your smart mouth?
Drawing me in and you kicking me out
You've got my head spinning, no kidding
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh

How many times do I have to tell you?
Even when you're crying, you're beautiful, too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh "
4,Fancy,Iggy Azalea," 
First things first, I'm the realest (Realest)
Drop this and let the whole world feel it (Let 'em feel it)
And I'm still in the Murda Bizness
I can hold you down, like I'm giving lessons in physics (Right, right?)
You should want a bad bitch like this (Huh?)
Drop it low and pick it up just like this (Yeah)
Cup of Ace, cup of Goose, cup of Cris
High heels, something worth a half a ticket on my wrist (On my wrist)
Taking all the liquor straight, never chase that (Never)
Rooftop like we bringing '88 back (What?)
Bring the hooks in, where the bass at?
Champagne spilling, you should taste that
I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh
I said baby, I do this, I thought that you knew this
Can't stand no haters, and honest, the truth is
That my flow retarded, each beat dear, departed
Swagger on stupid, I can't shop in no department
And get my money on time, if it ain't 'bout money, decline
And swear I meant that there so much that I give that line a rewind
Said I get my money on time, if it ain't 'bout money, decline
I just can't worry 'bout no haters, gotta stay on my grind
Now tell me, who that, who that? That do that, do that?
Put that paper over all, I thought you knew that, knew that
I be that I-G-G-Y, put my name in bold
I been working, I'm up in here with some change to throw

I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh

Trash the hotel
Let's get drunk on the minibar
Make the phone call
Feels so good getting what I want
Yeah, keep on turning it up
Chandelier swinging, we don't give a fuck
Film star, yeah, I'm deluxe
Classic, expensive, you don't get to touch, ow!
Still stunting, how you love that?
Got the whole world asking how I does that (Ooh)
Hot girl, hands off, don't touch that (Ooh)
Look at it, I bet you wishing you could clutch that
That's just the way you like it, huh?
It's so good, he just wishing he could bite it, huh? (Say what?)
Never turn down nothing
Slayin' these hoes, gold trigger on the gun like
I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh

Who that, who that? I-G-G-Y
That do that, do that, I-G-G-Y
Who that, who that? I-G-G-Y
(Blow-oh-oh-oh)
Who that, who that? I-G-G-Y
That do that, do that, I-G-G-Y
Who that, who that? I-G-G-Y
(Blow-oh-oh-oh)"
5,Counting Stars,OneRepublic," 
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars
Yeah, we'll be countin' stars""

I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye shall find

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told

I feel something so right doin' the wrong thing
I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars"", yeah

I feel your love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn

Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
I'm just doing what we're told

I feel something so wrong doin' the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""
Oh, take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned

Everything that kills me makes me feel alive

Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be countin' stars""
Lately, I've been, I've been losin' sleep
Dreamin' about the things that we could be
But baby, I've been, I've been prayin' hard
Said, ""No more countin' dollars, we'll be, we'll be countin' stars""

Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned
Take that money, watch it burn
Sink in the river, the lessons I've learned "
6,Talk Dirty,Jason Derulo," 
Jason, hehehe
Jason Derulo
Hahaha, get Jazzy on 'em

I'm that flight that you get on
International
First-class seat  on my lap, girl
Riding comfortable (Oh, yeah)
Ha, 'cause I know what da girl dem need
New York to Haiti
I got lipstick stamps on my passport
You make it hard to leave

Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Uh-huh)
All I really need to understand is (Uh-huh)
When you

Talk dirty to me
Talk dirty to me (What?)
Talk dirty to me
Talk dirty to me (What?)
Get Jazzy on 'em

You know the words to my songs
No habla inglés (Oh)
Our conversations ain't long
But you know what is
I know what the girldem want
London to Taiwan
I got lipstick stamps on my passport
I think I need a new one

Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Oh, uh-huh)
All I really need to understand is (Uh-huh)
When you

Talk dirty to me (Oh)
Talk dirty to me (Haha, what?)
Talk dirty to me (Yeah)
Talk dirty to me (Yeah, what? Uh, yeah)

(Uno)
Met a friend in Rio
(Dos)
She was all on me, oh
(Trés)
We could ménage à three, oh
(Cuatro)
Oh, yeah (2 Chainz)
Dos Cadenas, close to genius
Sold-out arenas, you can suck my penis (Ooh, damn)
Gilbert Arenas, guns on deck (Deck)
Chest to chest, tongue on neck (Neck)
International oral sex
Every picture I take, I pose a threat (Yeah, oh)
Bought a jet, what do you expect?
Her pussy's so good, I bought her a pet (Oh, oh, oh, oh)
Anyway, every day, I'm tryna get to it
Got her saved in my phone under ""Big Booty"" (Haha)
Anyway, every day, I'm tryna get to it
Got her saved in my phone under ""Big Booty""

Been around the world, don't speak the language (Uh-huh)
But your booty don't need explaining (Uh-huh)
All I really need to understand is (Uh-huh)
When you

Talk dirty to me (You do)
Talk dirty to me (Yeah, yeah)
Talk dirty to me (Talk to me, ah, ah, ooh)
Talk dirty to me (Oh yeah, oh)
Get Jazzy on 'em
What? I don't understand "
7,Rude,Magic!," 
Saturday mornin', jumped outta bed and put on my best suit
Got in my car and raced like a jet all the way to you
Knocked on your door with heart in my hand to ask you a question
'Cause I know that you're an old-fashioned man, yeah (Yeah)

Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, but the answer is no!""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) Marry her anyway
(Marry that girl) Yeah, no matter what you say
(Marry that girl) And we'll be a family
Why you gotta be so rude?

I hate to do this, you leave no choice, can't live without her
Love me or hate me, we will be both standin' at that altar
Or we will run away to another galaxy, you know
You know she's in love with me, she will go anywhere I go

Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, 'cause the answer's still no!""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) Marry her anyway
(Marry that girl) No matter what you say
(Marry that girl) And we'll be a family
Why you gotta be so rude?
Rude
(Why you gotta be so–)

Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, but no still means no!""

Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway
(Marry that girl) Marry her anyway
(Marry that girl) No matter what you say
(Marry that girl) And we'll be a family
Why you gotta be so rude?
Why, why, why, why?
(Say) Say, why you gotta be so rude? "
8,All About That Bass,Meghan Trainor," 
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass (Bass, bass, bass, bass)

Yeah, it's pretty clear, I ain't no size two
But I can shake it, shake it, like I'm supposed to do
'Cause I got that boom boom that all the boys chase
And all the right junk in all the right places
I see the magazines (Ah-ha) working that Photoshop (Ah-ha)
We know that shit ain't real, come on now, make it stop
If you got beauty, beauty (Ah-ha), just raise 'em up
'Cause every inch of you is perfect from the bottom to the top

Yeah, my momma, she told me, ""Don't worry about your size""
(Shoo-wop, wop, shoo-wop, wop)
She says, ""Boys like a little more booty to hold at night""
(That booty, booty, uh, that booty, booty)
You know I won't be no stick-figure, silicone Barbie doll
(Shoo-wop, wop, shoo-wop, wop)
So, if that's what's you're into, then go ahead and move along

Because you know I'm all about that bass
'Bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, no treble
I'm all about that bass, 'bout that bass, hey

I'm bringing booty back
Go ahead and tell them skinny bitches that
No, I'm just playing, I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top

Yeah, my momma, she told me (Woo!), ""Don't worry about your size""
(Shoo-wop, wop, hey, shoo-wop, wop)
She says, ""Boys like a little more booty to hold at night""
(That booty, booty, uh, that booty, booty)
You know I won't be no stick-figure, silicone Barbie doll
(Shoo-wop, wop, shoo-wop, wop, oh, no)
So, if that's what's you're into, then go ahead and move along (Ooh)

Because you know I'm all about that bass
'Bout that bass, no treble (No treble)
I'm all about that bass, (Ooh) 'bout that bass, no treble
(Yeah, yeah, yeah) I'm all about that bass, 'bout that bass, no treble
(Hey, yeah) I'm all about that bass, 'bout that bass
(You know) Because you know I'm all about that bass
'Bout that bass, no treble
(I said) I'm all about that bass, 'bout that bass, no treble
(Uh) I'm all about that bass, 'bout that bass, no treble
(I said) I'm all about that bass, 'bout that bass
(Ooh) Because you know I'm all about that bass
'Bout that bass, no treble
(I said) I'm all about that bass, 'bout that bass, no treble
(Ah) I'm all about that bass, 'bout that bass, no treble
(I'm all 'bout that bass) I'm all about that bass, 'bout that bass

'Bout that bass, 'bout that bass
Hey, hey
Hey-hey, ooh
You know you love this bass
Ah-ah-ah-ah-ah-ah, yeah
Ha-ha
 "
9,Problem,Ariana Grande," 
Uh-huh
It's Iggy Iggz
I got one more problem with you, girl, ayy
(One less, one less problem)

Hey, baby, even though I hate ya
I wanna love ya (I want you-ou-ou)
And even though I can't forgive ya
I really want to (I want you-ou-ou)
Tell me, tell me, baby
Why can't you leave me?
'Cause even though I shouldn't want it
I gotta have it (I want you-ou-ou)

Head in the clouds, got no weight on my shoulders
I should be wiser and realize that I've got
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem

I know you're never gonna wake up
I gotta give up (But it's you-ou-ou)
I know I shouldn't ever call back
Or let you come back (But it's you-ou-ou)
Every time you touch me
And say you love me
I get a little bit breathless
I shouldn't want it (But it's you-ou-ou)

Head in the clouds, got no weight on my shoulders
I should be wiser and realize that I've got
One less problem without ya
I got one less problem without ya
I got one less problem without ya
I got one less, one less problem
One less problem without ya
I got one less problem without ya (Ooh, babe)
I got one less problem without ya (Ooh, woah)
I got one less, one less problem

It's Iggy Iggz
Uh, what you got?
Smart money, bettin' I'll be better off without you
In no time, I'll be forgettin' all about you
You sayin' that you know, but I really, really doubt you
Understand, my life is easy when I ain't around you
Iggy Iggy, too biggie to be here stressin'
I'm thinkin' I love the thought of you more than I love your presence
And the best thing now is probably for you to exit
I let you go, let you back, I finally learned my lesson
No half-steppin', either you want it or you just playin'
I'm listenin' to you knowin' I can't believe what you sayin'
There's a million you's, baby boo, so don't be dumb
I got ninety-nine problems, but you won't be one, like what?

Mm, yeah (One less, one less problem)
Mm, yeah (One less, one less problem)

Head in the clouds, got no weight on my shoulders (One less, one less problem)
I should be wiser and realize that I've got (One less, one less problem)
One less problem without ya (Babe)
I got one less problem without ya (Oh no, babe)
I got one less problem without ya (Ooh)
I got one less, one less problem (Ooh, baby)
One less problem without ya (Yeah, I got)
I got one less problem without ya (Woo, hey)
I got one less problem without ya
I got one less, one less problem, babe (Woo)
One less problem without ya (Uh, hey)
I got one less problem without ya (Without you)
I got one less problem without ya (I got one less, one less, yeah)
I got one less, one less problem (Yeah) "
10,Stay with Me,Sam Smith," 
Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down, I know this never works
But you can lay with me so it doesn't hurt
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Oh-oh-oh-ohh, oh-oh, oh-oh (Ooh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)
Oh-oh-oh-ohh, oh-oh, oh-oh (Ohh)

Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me "
