Rank,Musica,Artista,Letra
1,Love Yourself,Justin Bieber," 

For all the times that you rained on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl, for goodness' sake
You think I'm cryin' on my own, well, I ain't

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song
'Cause I didn't want anyone thinking I still care
I don't, but you still hit my phone up
And baby, I'll be movin' on
And I think you should be somethin' I don't wanna hold back
Maybe you should know that

My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
But now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
For all the times that you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low and I was vulnerable
Was I a fool to let you break down my walls?

'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby, you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself "
2,Sorry,Justin Bieber," 

You gotta go and get angry at all of my honesty
You know I try, but I don't do too well with apologies
I hope I don't run out of time, could someone call a referee?
'Cause I just need one more shot at forgiveness
I know you know that I made those mistakes maybe once or twice
And by once or twice, I mean maybe a couple of hundred times
So let me, oh, let me redeem, oh, redeem, oh, myself tonight
'Cause I just need one more shot at second chances

Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, yeah
Sorry
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'll take every single piece of the blame if you want me to
But you know that there is no innocent one in this game for two
I'll go, I'll go and then you go, you go out and spill the truth
Can we both say the words and forget this?

Yeah, is it too late now to say sorry?
'Cause I'm missing more than just your body
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?
I'm not just tryna get you back on me (Oh, no, no)
'Cause I'm missing more than just your body (Your body)
Oh, is it too late now to say sorry?
Yeah, I know that I let you down
Is it too late to say I'm sorry now?

I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now?
I'm sorry, yeah
Sorry, oh
Sorry
Yeah, I know that I let you down (I know I let you down)
Is it too late to say I'm sorry now? "
3,One Dance,Drake," 
Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
Baby, I like your style

Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Wine it, wine it, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and wine am
Back up, back up, and wine am, girl, just
Back up, back up, back up, and wine am
Oh, yeah, very long time
Back, up, back up and wine am, girl
Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (Oh, yeah, very long time)
Where, where, where (Back up, back up, and wine am, girl)
Where, where, where, where
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)

I need a one dance (Where, where, where)
Got a Hennessy in my hand (Where, where, where, where)
One more time 'fore I go (Where)
Higher powers taking a hold on me (Where, where, where, where)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s "
4,Work,Rihanna," 
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Me nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Dry! Me ah desert him
Nuh time to have you lurking
Him ah go act like he nuh like it
You know I dealt with you the nicest
Nuh body touch me, you nuh righteous
Nuh badda, text me in a crisis
I believed all of your dreams, adoration
You took my heart and my keys and my patience
You took my heart on my sleeve for decoration
You mistaken my love I brought for you for foundation
All that I wanted from you was to give me
Something that I never had
Something that you've never seen
Something that you've never been
Mmmmm
But I wake up and act like nothing's wrong
Just get ready fi

Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt!
So me put in
Work, work, work, work, work, work
Ner, ner, ner, ner, ner, ner
When yuh ago learn, learn, learn, learn, learn, learn?
Before the tables turn, turn, turn, turn, turn, turn

Beg you something, please
Baby, don't you leave
Don't leave me stuck here in the streets, uh-huh
If I get another chance to
I will never, no, never neglect you
I mean, who am I to hold your past against you?
I just hope that it gets to you
I hope that you see this through
I hope that you see this true
What can I say?
Please recognize I'm tryin', babe
I have to
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Me nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Yeah, okay
You need to get done, done, done, done at work, come over
We just need to slow the motion
Don't give that away to no one
Long distance, I need you
When I see potential, I just gotta see it through
If you had a twin, I would still choose you
I don't wanna rush into it if it's too soon
But I know you need to get done, done, done, done
If you come over
Sorry if I'm way less friendly
I got niggas tryna end me, oh (Yeah)
I spilled all my emotions tonight, I'm sorry
Rollin', rollin', rollin', rollin', rollin'
How many more shots until you're rollin'?
We just need a face-to-face
You could pick the time and the place
You spent some time away
Now you need to forward and give me all the
Work, work, work, work, work, work
He said me haffi
Work, work, work, work, work, work
He see me do mi
Dirt, dirt, dirt, dirt, dirt, dirt
So me put in
Work, work, work, work, work, work
When you ah guh
Learn, learn, learn, learn, learn?
Me nuh cyar if him
Hurt, hurt, hurt, hurt, hurting

Mmmmm, mmmmm
Mmmmm, mmmmm
Work, work, work, work, work, work
Mmmmm, mmmmm
 "
5,Stressed Out,Twenty One Pilots,"
I wish I found some better sounds no one's ever heard
I wish I had a better voice that sang some better words
I wish I found some chords in an order that is new
I wish I didn't have to rhyme every time I sang
I was told, when I get older, all my fears would shrink
But now I'm insecure, and I care what people think

My name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time (Time, time) to the good old days
When our momma sang us to sleep, but now we're stressed out (Out, oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out (Out, out, out, out)

We're stressed out (Out, out, out, out)

Sometimes a certain smell will take me back to when I was young
How come I'm never able to identify where it's comin' from?
I'd make a candle out of it, if I ever found it
Try to sell it, never sell out of it, I'd probably only sell one
It'd be to my brother, 'cause we have the same nose
Same clothes, homegrown, a stone's throw from a creek we used to roam
But it would remind us of when nothing really mattered
Out of student loans and treehouse homes, we all would take the latter

My-my-my name's Blurryface and I care what you think
My name's Blurryface and I care what you think

Wish we could turn back time (Time, time) to the good old days
When our momma sang us to sleep, but now we're stressed out (Out, oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah
We used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah

Wish we could turn back time (Time, time) to the good old days
When our momma sang us to sleep, but now we're stressed out (Out, oh)
Wish we could turn back time (Oh) to the good old days (Oh)
When our momma sang us to sleep, but now we're stressed out
We used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, used to play pretend, money
We used to play pretend, wake up, you need the money
Used to play pretend, give each other different names
We would build a rocket ship and then we'd fly it far away
Used to dream of outer space, but now they're laughin' at our face
Sayin', ""Wake up, you need to make money,"" yeah "
6,Panda,Desiigner," 
You are now listening to the hottest producer with the hottest beats on the net, Menace
This what they all been waitin' for? I guess so (Grrah)
They been waitin' for this shit for a long time, didn't they? (Git, git, git, grrah)
This what they all been waitin' for? I guess so
They been waitin' for this shit for a long time, didn't they? (Git, git, git, grrah)
Ayy, I'm just feelin' my vibe right now (Ayy)
I'm feelin' myself (Grrah)

Panda, Panda (Git)
Panda, Panda, Panda, Panda, Panda (Git, git, git)

I got broads in Atlanta (Ooh)
Twistin' dope, lean, and the Fanta (Grrah)
Credit cards and the scammers (Woo)
Hittin' off licks in the bando (Git)
Black X6, Phantom (Woo)
White X6 look like a panda
Goin' out like I'm Montana (Grrah)
Hundred killas, hundred hammers (Git, grrah)
Black X6, Phantom
White X6, panda (Grrah)
Pockets swole, Danny
Sellin' bar, candy (Git, git)
Man, I'm the macho like Randy (Woo)
The choppa go Oscar for Grammy (Grrah)
Bitch nigga, pull up ya panty (Woo)
Hope you killas understand me (Grrah)
I got broads in Atlanta (Ooh)
Twistin' dope, lean, and the Fanta (Grrah)
Credit cards and the scammers
Hittin' off licks in the bando (Grrah)
Black X6, Phantom (Woo)
White X6 look like a panda (Git)
Goin' out like I'm Montana (Grrah)
Hundred killas, hundred hammers (Grrah)
Black X6, Phantom (Git)
White X6, panda (Git, git; woo)
Pockets swole, Danny (Grrah)
Sellin' bar, candy (Ooh)
Man, I'm the macho like Randy (Git)
The choppa go Oscar for Grammy (Git, git)
Bitch nigga, pull up ya panty (Grrah)
Hope you killas understand me (Grrah)

Hey
Panda, Panda (Grrah)
Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda (Grrah)

I got broads in Atlanta (Git)
Twistin' dope, lean, and shit, sippin' Fanta (Git, git)
Credit cards and the scammers (Ooh)
Wake up Versace shit, life Desiigner (Grrah)
Whole bunch of lavish shit
They be askin' 'round town who be clappin' shit (Git, git, git)
I be pullin' up stuff in the Phantom ship (Ooh)
I got plenty of stuff in Bugatti whip, look how I drive this shit
Black X6, Phantom (Hey)
White X6, killin' on camera (Git, git)
Pop a Perc, I can't stand up (Grrah)
Gorilla, they come and kill you with bananas (Git)
Four fellas, they finna pull up in the Phantom (Git)
Know niggas, they come and kill you on the camera (Git, git, git)
Big Rollie, it's dancin' bigger than a Pandie
Go Oscar for Grammy, bitch, pull up ya panty
Fill up, I'ma flip it, I got bitches pull up and they get it (Git)
I got niggas that's countin' for digits (Git, git)
Say you make you a lot of new money (Grrah)
Know some killers pull off and they in the Wraith (Ayy)
CTD, pull up in the killa Bape (Git, git, git)
Call up Phillip-Phillip, gon' fill the bank (Grrah)
Niggas up in the bank, we gon' drill the bank (Ayy)
Fuck, we gon' kill the bank, get it (Git, git)
I got broads, yeah, I get it (Grrah)
I get cards, yeah, I shitted (Grrah)
This how I live it, did it all for a ticket (Grrah)
Now Flex drop bombs when he spin it
And Bobby gon' trend it (Grrah)
Jeff The Don doin' business
Zana Ray fuckin' up shit and she doin' her business (Grrah)
I be gettin' to the chicken, countin' to the chicken (Ayy)
And all of my niggas gon' split it (Git, git, git)
Panda, Panda (Grrah, grrah, grrah)
Panda, Panda, Panda, Panda, Panda (Git, git, git)

I got broads in Atlanta (Ooh)
Twistin' dope, lean, and the Fanta (Grrah)
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom (Ooh)
White X6 look like a panda
Goin' out like I'm Montana (Grrah)
Hundred killers, hundred hammers (Grrah)
Black X6, Phantom
White X6, panda (Git, git)
Pockets swole, Danny
Sellin' bar, candy
Man, I'm the macho like Randy (Ooh)
The choppa go Oscar for Grammy (Ayy)
Bitch nigga, pull up ya panty (Ooh)
Hope you killers understand me (Grrah)
I got broads in Atlanta
Twistin' dope, lean, and the Fanta
Credit cards and the scammers
Hittin' off licks in the bando
Black X6, Phantom (Ooh)
White X6 look like a panda (Grrah)
Goin' out like I'm Montana (Grrah)
Hundred killers, hundred hammers (Grrah)
Black X6, Phantom
White X6, panda (Ooh)
Pockets swole, Danny
Sellin' bar, candy (Ayy)
Man, I'm the macho like Randy (Ooh)
The choppa go Oscar for Grammy (Git, git)
Bitch nigga, pull up ya panty (Grrah)
Hope you killers understand me
Panda, Panda (Grrah)
Panda, Panda, Panda, Panda, Panda, Panda, Panda, Panda
 "
7,Hello,Adele," 
Hello, it's me
I was wondering if, after all these years, you'd like to meet
To go over everything
They say that time's supposed to heal ya
But I ain't done much healin'
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet

There's such a difference between us
And a million miles
Hello from the other side
I must've called a thousand times
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town
Where nothing ever happened?

It's no secret that the both of us
Are running out of time
So hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore

(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows) Anymore
Hello from the other side (Other side)
I must've called a thousand times (Thousand times)
To tell you I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside (Outside)
At least, I can say that I've tried (I've tried)
To tell you I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore
 "
8,Don't Let Me Down,The Chainsmoker," 
Crashin', hit a wall
Right now, I need a miracle
Hurry up now, I need a miracle
Stranded, reachin' out
I call your name, but you're not around
I say your name, but you're not around

I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

R-R-Runnin' out of time
I really thought you were on my side
But now there's nobody by my side

I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
D-Don't let me down

Don't let me down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down, down, down
Don't let me down
Don't let me down, down, down

Ooh, I think I'm losin' my mind now, yeah
Ooh, I think I'm losin' my mind now, yeah

I need ya, I need ya, I need you right now
Yeah, I need you right now
So don't let me, don't let me, don't let me down
I think I'm losin' my mind now
It's in my head, darlin', I hope
That you'll be here when I need you the most
So don't let me, don't let me, don't let me down
Don't let me down
Yeah, don't let me down
Yeah, don't let me down
Don't let me down, oh, no
Said don't let me down
Don't let me down, no, oh

Don't let me down
Don't let me down, down, down "
9,Can't Stop the Feeling!,Justin Timberlake,"
I got this feelin' inside my bones
It goes electric, wavey when I turn it on
All through my city, all through my home
We're flyin' up, no ceilin', when we in our zone

I got that sunshine in my pocket, got that good soul in my feet
I feel that hot blood in my body when it drops (Ooh)
I can't take my eyes up off it, movin' so phenomenally
Room on lock, the way we rock it, so don't stop

And under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)

Nothin' I can see but you
When you dance, dance, dance
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance
And ain't nobody leavin' soon, so keep dancin'

I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance, come on

Ooh, it's somethin' magical
It's in the air, it's in my blood, it's rushin' on (Rushin' on)
I don't need no reason, don't need control (Need control)
I fly so high, no ceilin', when I'm in my zone

'Cause I got that sunshine in my pocket, got that good soul in my feet
I feel that hot blood in my body when it drops (Ooh)
I can't take my eyes up off it, movin' so phenomenally
Room on lock, the way we rock it, so don't stop

And under the lights when everything goes
Nowhere to hide when I'm gettin' you close
When we move, well, you already know
So just imagine (Just imagine, just imagine)

Nothin' I can see but you
When you dance, dance, dance
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on
All those things I shouldn't do
But you dance, dance, dance (No, no, no)
And ain't nobody leavin' soon, so keep dancin'
I can't stop the feelin'
So just dance, dance, dance
I can't stop the feelin'
So just dance, dance, dance, come on
I can't stop the feelin' (Woo)
So just dance, dance, dance
I can't stop the feelin' (Yeah)
So keep dancin', come on

Oh
Yeah, oh
I can't stop the
I can't stop the
I can't stop the, I can't stop the

(I can't stop the feelin')
Nothin' I can see but you
When you dance, dance, dance
(I can't stop the feelin')
A feelin' good, good, creepin' up on you
So just dance, dance, dance, come on (Oh)
(I can't stop the feelin')
All those things I shouldn't do
But you dance, dance, dance (Dance, dance, dance)
(I can't stop the feelin')
And ain't nobody leavin' soon, so keep dancin'
(I can't stop the feelin')
Everybody sing
Got this feelin' in my body
(I can't stop the feelin')
Got this feelin' in my body (Oh, no)
(I can't stop the feelin')
Wanna see you move your body (No, no, no)
(I can't stop the feelin')
Got this feelin' in my body, come on
Break it down
Got this feelin' in my body (Uh)
I can't stop the feelin'
Got this feeling in my body, come on (Ooh) "
10,Closer,The Chainsmokers," 
Hey, I was doing just fine before I met you
I drink too much and that's an issue, but I'm okay
Hey, you tell your friends it was nice to meet them
But I hope I never see them again

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no calls
Now you're lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older

You look as good as the day I met you
I forget just why I left you, I was insane
Stay and play that blink-182 song
That we beat to death in Tucson, okay

I know it breaks your heart
Moved to the city in a broke-down car
And four years, no call
Now I'm lookin' pretty in a hotel bar
And I-I-I can't stop
No, I-I-I can't stop

So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
We ain't ever gettin' older
So, baby, pull me closer
In the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever gettin' older

We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
We ain't ever gettin' older
No, we ain't ever gettin' older

Older
We ain't ever gettin' older
Older
No, we ain't ever gettin' older "
