Rank,Musica,Artista,Letra
1,Blinding Lights,The Weeknd,"
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh

The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch "
2,Circles,Post Malone," 
Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away "
3,The Box,Roddy Ricch,"
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at

I was out back where the stash at
Cruise the city in a bulletproof Cadillac (Skrrt)
'Cause I know these niggas after where the bag at (Yeah)
Gotta move smarter, gotta move harder
Nigga try to get me for my water
I'll lay his ass down, on my son, on my daughter
I had the Draco with me, Dwayne Carter
Lotta niggas out here playin', ain't ballin'
I done put my whole arm in the rim, Vince Carter (Yeah)
And I know probably get a key for the quarter
Shawty barely seen in double C's, I bought 'em
Got a bitch that's looking like Aaliyah, she a model
I got the pink slip, all my whips is key-less
Compton, I'm about to get the key to the city
Patek like the sea, forgive me

Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at, hah

Hahaha, I been movin' 'em out
If Steelo with me, then he got the blues in the pouch (Yeah)
Took her to the forest, put the wood in her mouth
Bitch, don't wear no shoes in my house
The private I'm flyin' in, I never wan' fly again
I'll take my chances in traffic (Yeah)
She suckin' on dick, no hands with it
I just made the Rollie plain like a landing strip
I'm a 2020 president candidate
I done put a hundred bands on Zimmerman, shit
I been movin' real gangster, so that's why she picked a Crip
Shawty call me Crisco 'cause I pop my shit
Got it out the mud, there's nothin' you can tell me, yeah
When I had the drugs, I was street wealthy, yeah
Pullin' out the coupe at the lot
Told 'em fuck 12, fuck SWAT
Bustin' all the bells out the box
I just hit a lick with the box
Had to put the stick in the box, mmh
Pour up the whole damn seal, I'ma get lazy
I got the mojo deals, we been trappin' like the '80s
She sucked a nigga soul, gotta Cash App
Told 'em wipe a nigga nose, say slatt, slatt
I won't never sell my soul, and I can back that
And I really wanna know where you at, at "
4,Don't Start Now,Dua Lipa," 
If you don't wanna see me

Did a full one-eighty, crazy
Thinking 'bout the way I was
Did the heartbreak change me? Maybe
But look at where I ended up

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now

Aren't you the guy who tried to
Hurt me with the word ""goodbye""?
Though it took some time to survive you
I'm better on the other side

I'm all good already
So moved on, it's scary
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
(Don't, don't, don't)

Don't show up, don't come out
Don't start caring about me now
Walk away, you know how
Don't start caring about me now ('Bout me now, 'bout me)

Up, up
Don't come out, out, out
Don't show up, up, up
Don't start now (Oh)
Up, up
Don't come out, out
I'm not where you left me at all, so

If you don't wanna see me dancing with somebody
If you wanna believe that anything could stop me
Don't show up (Don't show up), don't come out (Don't come out)
Don't start caring about me now ('Bout me now)
Walk away (Walk away), you know how (You know how)
Don't start caring about me now (So)

Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away (So)
Up, up
Don't come out, out, out
Don't show up, up, up
Walk away, walk away, oh "
5,Rockstar,DaBaby ," 
Woo, woo
I pull up like
How you pull up, Baby? How you pull up? (Oh, oh, oh)
How you pull up? I pull up (Woo, SethInTheKitchen)

Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop

It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah)
I'm ready to hop out on a nigga, get to bustin'
Know you heard me say, ""You play, you lay,"" don't make me push the button
Full of pain, dropped enough tears to fill up a fuckin' bucket
Goin' for buckets, I bought a chopper
I got a big drum, it hold a hundred, ain't goin' for nothin'
I'm ready to air it out on all these niggas, I can see 'em runnin'
Just talked to my mama, she hit me on FaceTime just to check up on me and my brother
I'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go)
She know that her baby boy was always guaranteed to get the loot
She know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom)
PTSD, I'm always waking up in cold sweats like I got the flu
My daughter a G, she saw me kill a nigga in front of her before the age of two
And I'll kill another nigga too
'Fore I let another nigga do somethin' to you
Long as you know that, don't let nobody tell you different
Daddy love you (Yeah, yeah)

Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo, yeah)
And if I ain't enough, go get the chop (Yeah, yeah)

Keep a Glocky when I ride in the Suburban
'Cause the codeine had a young nigga swervin'
I got the mop, watch me wash 'em like detergent
And I'm ballin', that's why it's diamonds on my jersey
Slide on opps' side and flip the block back, yeah, yeah
My junior popped him and left him lopsided, yeah, yeah
We spin his block, got the rebound, Dennis Rodman
Fool me one time, you can't cross me again
Twelve hundred horsepower, I get lost in the wind
If he talkin' on the yard, the pen' dogs'll take his chin
Maybach SUV for my refugees
Buy blocks in the hood, put money in the streets
I was solo when the opps caught me at the gas station
Had it on me, thirty thousand, thought it was my last day
But they ain't even want no smoke
If I had to choose it, murder what she wrote
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar? (Yeah)
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop "
6,Adore You,Harry Styles," 
Walk in your rainbow paradise (Paradise)
Strawberry lipstick state of mind (State of mind)
I get so lost inside your eyes
Would you believe it?

You don't have to say you love me
You don't have to say nothing
You don't have to say you're mine

Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

Your wonder under summer skies (Summer skies)
Brown skin and lemon over ice
Would you believe it?

You don't have to say you love me
I just wanna tell you somethin'
Lately, you've been on my mind

Honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do
Like it's the only thing I'll ever do

It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do
It's the only thing I'll ever do

I'd walk through fire for you
Just let me adore you
Oh, honey (Ah-ah-ah)
I'd walk through fire for you
Just let me adore you
Like it's the only thing I'll ever do (Ah-ah-ah)
(It's the only thing I'll ever do, it's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you
Oh, honey (Ah-ah-ah), oh, honey
(It's the only thing I'll ever do, it's the only thing I'll ever do)
I'd walk through fire for you (It's the only thing I'll ever do)
Just let me adore you (It's the only thing I'll ever do)
Ooh, ooh
Oh, honey
Ooh, ooh
Just let me adore you
Like it's the only thing I'll ever do "
7,Life Is Good,Future ," 

Workin' on a weekend like usual
Way off in the deep end like usual
Niggas swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush

Say my days are numbered, but I keep wakin' up
Know you see my texts, baby, please say some'
Wine by the glass, your man a cheapskate, huh?
Niggas gotta move off my release day, huh
Bitch, this is fame, not clout
I don't even know what that's about, watch your mouth
Baby got a ego twice the size of the crib
I can never tell her shit, it is what it is (What)
Said what I had to and did what I did (Ayy)
Never turn my back on FBG, God forbid
Virgil got the Patek on my wrist doin' front flips
Givin' you my number, but don't hit me on no dumb shit

Workin' on a weekend like usual
Way off in the deep end like usual (Like usual)
Niggas swear they passed us, they doin' too much
Haven't done my taxes, I'm too turnt up
Virgil got a Patek on my wrist goin' nuts
Niggas caught me slippin' once, okay, so what?
Someone hit your block up, I'd tell you if it was us
Manor house in Rosewood, this shit too plush

It's cool, man, got red bottoms on
Life is good, you know what I mean? Like


Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

Granny, she was standin' right there while I catch a play on a brick, woo
I make them lil' niggas go haywire, Taliban in this bitch, woo
I done been down bad in them trenches, had to ride with that stick, woo
Who gave you pills? Who gave you that dust? Pluto sent you on a lick, woo
Too many convicts that roll with me to play in this shit, woo
I'm tryna avoid nonsense, get Osama spray in this bitch, woo
They at the candlelight lightin' it up, nigga, anybody can get it, woo
I'm on a PJ lightin' it up, Backwood full of sticky, woo
I'm tryna tote that Draco in London and it's extended, woo
They gotta stretch a nigga out, we gon' die for this shit, woo
Yeah, I ride for my niggas, I lie to my bitch, woo
We some poor, high-class niggas, made it, we rich, yeah
I was at the bando, got a penthouse for a closet, woo
It's like a chandelier on my neck, my wrist, woo
I got pink toes that talk different languages, woo
Got Promethazine in my blood and Percocet, yeah
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since

Racks by the ton, I call up Serena
I go tremendo for new fettuccine
All fact though, carat the pinky
All fact though, we ordered the Fiji
I'm in the loop with the voo, I'm in the loop with the woo, which one you workin'?
I'll put your face on the news, I'll put the pussy on the shirt after I murk it
Then make 'em go shoot up the hearse, cost me a quarter bird, nigga, it's worth it
And you a maniac, a fuckin' alien, how you splurgin'?
Got that kitty cat, I'm havin' fun with that, goin' Birkin

Yeah, hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, woo
I done flew one out to Spain to be in my domain and Audemars-ed the bitch, woo
Dropped three dollars on a ring, cost a Bentley truck, lil' bitch, woo
I was in the trap servin' cocaine, I ain't been the same since, woo

Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, yeah
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch, uh
Hunnid thousand for the cheapest ring on a nigga finger, lil' bitch "
8,Memories,Maroon 5," 
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

There's a time that I remember when I did not know no pain
When I believed in forever and everything would stay the same
Now my heart feel like December when somebody say your name
'Cause I can't reach out to call you, but I know I will one day, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through
Toast to the ones here today
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories
And the memories bring back, memories bring back you

Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you

There's a time that I remember when I never felt so lost
When I felt all of the hatred was too powerful to stop (Ooh, yeah)
Now my heart feel like an ember and it's lighting up the dark
I'll carry these torches for ya that you know I'll never drop, yeah

Everybody hurts sometimes
Everybody hurts someday, ayy-ayy
But everything gon' be alright
Go and raise a glass and say, ayy
Here's to the ones that we got (Oh-oh)
Cheers to the wish you were here, but you're not
'Cause the drinks bring back all the memories
Of everything we've been through (No, no)
Toast to the ones here today (Ayy)
Toast to the ones that we lost on the way
'Cause the drinks bring back all the memories (Ayy)
And the memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo
Memories bring back, memories bring back you
Doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo-doo
Doo-doo-doo-doo, doo-doo-doo (Ooh, yeah)
Memories bring back, memories bring back you

Yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, no, no
Memories bring back, memories bring back you "
9,The Bones,Maren Morris," 
We're in the homestretch of the hard times
We took a hard left, but we're alright
Yeah, life sure can try to put love through it, but
We built this right, so nothing's ever gonna move it

When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain 'cause you and I remain the same
When there ain't a crack in the foundation
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good

Call it dumb luck, but baby, you and I
Can't even mess it up, yeah, though we both tried
No, it don't always go the way we planned it
But the wolves came and went and we're still standing

When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain 'cause you and I remain the same
When there ain't a crack in the foundation
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good
When the bones are good

Bones are good, the rest, the rest don't matter (Baby, it don't really matter)
Paint could peel, the glass, the glass could shatter (Oh, the glass, oh, the glass could shatter)
Bones are good, the rest, the rest don't matter (Ooh)
Paint could peel, the glass, the glass could shatter (Yeah)

When the bones are good, the rest don't matter
Yeah, the paint could peel, the glass could shatter
Let it rain (Let it rain, let it rain)
'Cause you and I remain the same (Woo)
When there ain't a crack in the foundation (Woo)
Baby, I know any storm we're facing
Will blow right over while we stay put
The house don't fall when the bones are good

Yeah, ooh "
10,Someone You Loved,Lewis Capaldi," 
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved "
