Rank,Musica,Artista,Letra
1,Breathe,Faith Hill," 
I can feel the magic floating in the air
Being with you gets me that way
I watch the sunlight dance across your face, and I've
Never been this swept away

All my thoughts just seem to settle on the breeze
When I'm lying wrapped up in your arms
The whole world just fades away
The only thing I hear
Is the beating of your heart

'Cause I can feel you breathe, it's washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
And baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

In a way, I know my heart is waking up
As all the walls come tumbling down
Closer than I've ever felt before
And I know, and you know
There's no need for words right now
You might also like
'Cause I can feel you breathe, washing over me
And suddenly, I'm melting into you
There's nothing left to prove
Baby, all we need is just to be
Caught up in the touch, slow and steady rush
And baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe


Caught up in the touch, slow and steady rush
And baby, isn't that the way that love's supposed to be?
I can feel you breathe
Just breathe

I can feel the magic floating in the air
Being with you gets me that way "
2,Smooth,Santana feat. Rob Thomas," 
Man, it's a hot one
Like seven inches from the midday sun
Well, I hear you whisper and the words melt everyone
But you stay so cool
My muñequita, my Spanish Harlem Mona Lisa
You're my reason for reason, the step in my groove, yeah

And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it

Well, I'll tell you one thing
If you would leave it'd be a crying shame
In every breath and every word
I hear your name callin' me out
Out from the barrio, you hear my rhythm on your radio
You feel the turnin' of the world so soft and slow
Turnin' you round and round
You might also like
And if you say, ""This life ain't good enough""
I would give my world to lift you up
I could change my life to better suit your mood
'Cause you're so smooth

And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, yeah


And it's just like the ocean under the moon
Well, it's the same as the emotion that I get from you
You got the kind of lovin' that can be so smooth, yeah
Gimme your heart, make it real, or else forget about it, damn

Or else forget about it
Oh, or else forget about it
Oh, let's don't forget about it
(Gimme your heart, make it real) Or else forget about it, hey
Let's don't forget about it, no, oh, no
Oh, let's don't forget about it, no, no, no
Oh, let's don't forget about it, hey, no, no
Oh, let's don't forget about it, hey, hey, hey "
3,Maria Maria,Santana," 
Ladies and gents, turn up your sound systems
To the sound of Carlos Santana
And the G&B
It's the product of Ghetto Blues
From the Refugee Camp

Oh, Maria, Maria
She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
To the sounds of the guitar, yeah, yeah
Played by Carlos Santana


Stop the looting, stop the shooting
Pickpocketing on the corner
See, as the rich is getting richer
The poor is getting poorer
See me and Maria on the corner
Thinking of ways to make it better
In my mailbox, there's an eviction letter
Signed by the judge, said, ""See you later"", yeah
You might also like
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (East Coast)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (West Coast)

Oh, Maria, Maria
She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
She fell in love in East L.A
I said, to the sounds of the guitar, yeah, yeah
Played by Carlos Santana


I said a la favela los colores
The streets are getting hotter
There is no water to put out the fire
Ni gota de esperanza
See me and Maria on the corner
Thinking of ways to make it better
Then I looked up in the sky
Hoping that there's a paradise, yeah, yeah
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (North side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (South side)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Worldwide)
Ahora vengo mama chula, mama chula
Ahora vengo mama chula (Open up your eyes)

Maria, you know you're my lover
When the wind blows, I can feel you
Through the weather
And even when we are apart
Still feels like we're together, Maria, yeah

She remind me of a West Side Story
Growing up in Spanish Harlem
She living the life just like a movie star
Oh, Maria, Maria
Oh, she fell in love in East L.A
To the sounds of the guitar
Played by Carlos Santana

Put 'em up y'all
Carlos Santana with the Refugee Camp
Wyclef
Jerry Wonda
Mr. Santana
G&B
Yo Carlos, man, you're making that guitar cry "
4,I Wanna Know,Joe," 
Yeah
Oh-oh, yeah
Alright, oh, oh, oh

It's amazing how you knock me off my feet, mm
Every time you come around me, I get weak, oh yeah
Nobody ever made me feel this way, oh
You kiss my lips and then you take my breath away
So, I wanna know

I wanna know what turns you on (Yeah, I'd like to know)
So I can be all that and more (I'd like to know, yeah)
I'd like to know what makes you cry (So)
So I can be the one who always makes you smile

Girl, he never understood what you were worth (Hmm, no)
And he never took the time to make it work, no
(You deserve more lovin', girl, oh)
Baby, I'm the kind of man who shows concern, yes I do, oh
Anyway that I can please you, let me learn
So, I wanna know
You might also like
I wanna know what turns you on (I wanna know)
So I can be all that and more (I'd like to know)
I'd like to know what makes you cry (So)
So I can be the one who always makes you smile (Make you smile, babe)

Tell me what I gotta do to please you
Baby, anything you say, I'll do (I'll do)
'Cause I only wanna make you happy (Happy)
From the bottom of my heart, it's true (It's true)
Tell me what I gotta do to please you (Please you)
Baby, anything you say I'll do (I'll do, girl)
'Cause I only wanna make you happy
From the bottom of my heart, it's true (Oh, it's true)

I wish that I could take a journey through your mind, ah, alright
And find emotions that you always try to hide, babe, ah, oh
I do believe that there's a love you wanna share, oh, oh-oh
I'll take good care of you, lady, have no fear, uh, oh
So I wanna know

I wanna know what turns you on (I wanna know)
So I can be all that and more (And I'd like to know)
I'd like to know what makes you cry (Oh-oh, yeah)
So I can be the one who always makes you smile
(Ooh, tell me, tell me)
Tell me what I gotta do to please you
Baby, anything you say, I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true
Tell me what I gotta do to please you
Baby, anything you say, I'll do
'Cause I only wanna make you happy
From the bottom of my heart, it's true (Yeah, yeah)

I wanna know what turns you on (I'd like to know, I'd like to know, yeah)
So I can be all that and more (I wanna know)
I'd like to know what makes you cry (So, oh yeah)
So I can be the one who always makes you smile (I'd like to know, I wanna know)
I wanna know what turns you on (Tell me, girl)
So I can be all that and more "
5,Everything You Want,Vertical Horizon," 
Somewhere there's speaking
It's already coming in
Oh, and it's rising at the back of your mind
You never could get it
Unless you were fed it
Now you're here and you don't know why
But under skinned knees and the skid marks
Past the places where you used to learn
You howl and listen
Listen and wait for the
Echoes of angels who won't return

He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

You're waiting for someone
To put you together
You're waiting for someone to push you away
There's always another wound to discover
There's always something more you wish he'd say
You might also like
He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

But you'll just sit tight
And watch it unwind
It's only what you're asking for
And you'll be just fine
With all of your time
It's only what you're waiting for

Out of the island
Into the highway
Past the places where you might have turned
You never did notice
But you still hide away the
Anger of angels who won't return
He's everything you want
He's everything you need
He's everything inside of you
That you wish you could be
He says all the right things
At exactly the right time
But he means nothing to you
And you don't know why

I am everything you want
I am everything you need
I am everything inside of you
That you wish you could be
I say all the right things
At exactly the right time
But I mean nothing to you
And I don't know why

And I don't know why
Why
I don't know "
6,Say My Name,Destiny's Child," 
(Darkchild '99)

Say my name, say my name
If no one is around you, say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady, ain't callin' me ""baby""
Why the sudden change?
Say my name, say my name
If no one is around you, say, ""Baby, I love you""
If you ain't runnin' game
Say my name, say my name
You actin' kinda shady, ain't callin' me ""baby""
Better say my name

Any other day I would call, you would say
""Baby, how's your day?"" But today, it ain't the same
Every other word is ""Uh-huh, yeah, okay""
Could it be that you are at the crib with another lady?
If you took it there, first of all, let me say
I am not the one to sit around and be played
So prove yourself to me if I'm the girl that you claim
Why don't you say the things that you said to me yesterday?
You might also like
I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holdin' you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name (Say my name, is around you)
If no one is around you, say, ""Baby, I love you"" (Love you)
If you ain't runnin' game
Say my name, say my name (Say my name, say my name)
You actin' kinda shady, ain't callin' me ""baby"" (Baby, yeah, yeah)
Why the sudden change?
Say my name, say my name
If no one is around you, say, ""Baby, I love you"" (Ye-yeah, ye-yeah, yeah)
If you ain't runnin' game (No, no, no, no, no, no)
Say my name, say my name
You actin' kinda shady, ain't callin' me ""baby""
Better say my name

What is up with this? Tell the truth, who you with?
How would you like it if I came over with my clique?
Don't try to change it now sayin' you gotta bounce
When two seconds ago said you just got in the house
It's hard to believe that you are at home by yourself
When I just heard the voice, heard the voice of someone else
Just this question, why do you feel you gotta lie?
Gettin' caught up in your game when you cannot say my name
I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holdin' you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name (Say my name)
If no one is around you, say, ""Baby, I love you"" (I love you)
If you ain't runnin' game
Say my name, say my name (Say my name, say my name)
You actin' kinda shady, ain't callin' me ""baby"" (Say my name)
Why the sudden change? (Sudden change)
Say my name, say my name (Say my name)
If no one is around you, say, ""Baby, I love you"" (If ain't nothin' changed, oh)
If you ain't runnin' game (Baby, say my name)
Say my name, say my name
You actin' kinda shady, ain't callin' me ""baby"" (Ooh, oh)
Better say my name

Oh, yeah (Where my ladies at?)
Ye-yeah, ye-yeah, yeah (Please say that, come on)
Ye-yeah, ye-yeah, ye-yeah, ye-yeah (All the girls say)
Ye-yeah, ye-yeah (I can't hear ya)
Ye-yeah, ye-yeah, ye-yeah, ye-yeah (All the girls say)
Ye-yeah, ye-yeah, ye-yeah, ye-yeah (All the girls say)
Ye-yeah, ye-yeah, ye-yeah, ye-yeah
Ye-yeah, ye-yeah (Break it down)
Oh, woah, woah (Ye-ye-yeah)
(Uh, uh-uh, DC, take it to the bridge, come on)
I know you say that I am assuming things
Something's goin' down, that's the way it seems
Shouldn't be no reason why you're actin' strange
If nobody's holdin' you back from me
'Cause I know how you usually do
Where you're sayin' everything to me times two
Why can't you just tell the truth?
If somebody's there then tell me who

Say my name, say my name
If no one is around you, say, ""Baby, I love you"" (If no one is around you)
If you ain't runnin' game (Call me your boo)
Say my name, say my name (And tell me what you love to do)
You actin' kinda shady, ain't callin' me ""baby"" (Woah)
Why the sudden change?
Say my name, say my name
If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"")
If you ain't runnin' game (Baby, say my name)
Say my name, say my name (Say my name, say my name)
You actin' kinda shady, ain't callin' me ""baby"" (Shady, baby)
Better say my name
Say my name, say my name
If no one is around you, say, ""Baby, I love you"" (Say, ""Baby, I love you"")
If you ain't runnin' game
Say my name, say my name (Say my name)
You actin' kinda shady, ain't callin' me ""baby"" (Say my name)
Why the sudden change? (Ye-yeah, ye-yeah)
Say my name, say my name (Ye-yeah, ye-yeah)
If no one is around you (Ye-yeah, ye-yeah)
Say, ""Baby, I love you"" (Ye-yeah, ye-yeah, ye-yeah, ye-yeah)
If you ain't runnin' game (Ye-yeah, ye-yeah)
Say my name, say my name (Ye-yeah, ye-yeah)
You actin' kinda shady (Ye-yeah, ye-yeah)
Ain't callin' me ""baby"" (Ye-yeah, ye-yeah, ye-yeah, ye-yeah)
Better say my name

Thou shalt know she can't love you "
7,I Knew I Loved You,Savage Garden," 
Mmm
Ooh, oh

Maybe it's intuition
But some things you just don't question
Like in your eyes, I see my future in an instant
And there it goes, I think I've found my best friend

I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

There's just no rhyme or reason
Only this sense of completion
And in your eyes, I see the missing pieces (I'm searching for)
I think I found my way home
You might also like
I know that it might sound more than a little
Crazy, but I believe...

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life

Ooh, ooh-ooh
Oh, oh-oh, oh
A thousand angels dance around you
Ooh, ooh-ooh
Oh, oh-oh, oh
I am complete now that I've found you

I knew I loved you before I met you
I think I dreamed you into life
I knew I loved you before I met you
I have been waiting all my life
I knew I loved you before I met you
I think I dreamed you into my life
I knew I loved you before I met you
I have been waiting all my life
I knew I loved you before I met you (Ooh, ooh-ooh, ooh)
I knew I loved you
I knew I loved you before I met you (Ooh, ooh-ooh, ooh)
I knew I loved you
I knew I loved you before I met you (Oh, oh, oh, oh, oh, oh)
I knew I loved you before I met you (Yeah, yeah, oh)
I knew I loved you "
8,Amazed,Lonestar," 
Every time our eyes meet
This feeling inside me
Is almost more than I can take
Baby, when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone, or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you

The smell of your skin
The taste of your kiss
The way you whisper in the dark
Your hair all around me
Baby, you surround me
You touch every place in my heart
See Lonestar LiveGet tickets as low as $30You might also like
Oh, it feels like the first time every time
I want to spend the whole night in your eyes

I don't know how you do what you do
I'm so in love with you
It just keeps getting better
I want to spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do
Baby, I'm amazed by you


Every little thing that you do
I'm so in love with you
It just keeps getting better
I wanna spend the rest of my life
With you by my side
Forever and ever
Every little thing that you do (Every little thing that you do)
Every little thing that you do
Baby, I'm amazed by you "
9,Bent,Matchbox Twenty," 
And if I fall along the way
Pick me up and dust me off
And if I get too tired to make it
Be my breath so I can walk
And if I need some other love, then
Give me more than I can stand
And when my smile gets old and faded
Wait around, I'll smile again

Shouldn't be so complicated
Just hold me and then
Oh, just hold me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me bent

And if I couldn't sleep, could you sleep?
Could you paint me better off?
And could you sympathize with my needs?
I know you think I need a lot
See Matchbox Twenty LiveGet tickets as low as $78You might also like
I started out clean but I'm jaded
Just phoning it in
Oh, just breaking the skin

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me bent

Start bending me
It's never enough till I feel all your pieces
Start bending me
Keep bending me until I'm completely broken in

Shouldn't be so complicated
Just touch me and then
Oh, just touch me again

Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Keep breaking me in
And this is how we will end
With you and me landin' without understanding
Hell, I'd go there again
Can you help me I'm bent?
I'm so scared that I'll never
Get put back together
Yeah, you're breaking me in
And this is how we will end
With you and me bent "
10,He Wasn't Man Enough,Toni Braxton," He Wasn’t Man Enough Lyrics
Darkchild, he-he
Whoa-yeah, yeah
Toni Braxton, oh-whoa-yeah
Ha-ha, uh-huh
Yeah, Darkchild, yeah

Listen, girl
Who do you think I am?
Don't you know that he was my man?
But I chose to let him go
So why do you act like I still care about him? (Care about him)
Lookin' at me like I'm hurt
When I'm the one who said I didn't want it to work
Don't you forget I had him first

What you thinkin'? (Yeah, yeah, yeah)
Stop blamin' me
He wasn't man enough for me
If you don't know, now here's your chance
I've already had your man
Do you wonder just where he's been, yeah?
And not be worried about him, yeah?
Now it's time you know the truth
I think he's just the man for you, yeah
You might also like
What are you thinkin'? (Oh-oh, yeah)
Did you know about us back then? (Did you know?)
Do you know I dumped your husband (Ooh-wee), girlfriend (Girlfriend)?
I'm not thinkin' 'bout him
But you married him
Do you know I made him leave? (Made him say bye-bye)
Do you know he begged to stay with me? (Oh, with me)
He wasn't man enough for me

Listen, girl
Didn't he tell you the truth?
If not, then why don't you ask him?
Then maybe, you can be more into him
Instead of worryin' about me
And hopefully you won't find
All of the reasons why his love didn't count
And why we couldn't work it out

What you thinkin'?
Stop blamin' me (Ooh, yeah)
He wasn't man enough for me, yeah
If you don't know, now here's your chance
See, I've already had your man, yeah
Do you wonder just where he's been, yeah?
And not be worried about him, yeah?
Now it's time you know the truth
I think he's just the man for you
What are you thinkin'? (Yeah, yeah)
Did you know about us back then? (Did you know?)
Do you know I dumped your husband (Did you know?), girlfriend? (Yeah)
I'm not thinkin' 'bout him
But you married him (Yeah)
Do you know I made him leave? (Do you really know?)
Do you know he begged to stay with me? (Know he begged, beggin' me to stay)
He wasn't man enough for me
What are you thinkin'? (Yeah)
Did you know about us back then? (Ooh, yeah, yeah, yeah)
Do you know I dumped your husband (Do you know I dumped your husband?), girlfriend? (That's what I did to him)
I'm not thinkin' 'bout him
But you married him (Yeah)
Do you know I made him leave? (Yes, you did, yeah)
Do you know he begged to stay with me? (Did you really know?)
He wasn't man enough for me (Oh, oh-yeah)

So many reasons why our love is through, yeah
What makes you think he'll be good to you?
No, it makes no sense, 'cause he will never change
Girl, you better recognize the game, oh yeah

What are you thinkin'?
Did you know about us back then?
Do you know I dumped your husband (Husband), girlfriend (Girlfriend)?
I'm not thinkin' 'bout him
But you married him (A fool will)
Do you know I made him leave? (A fool will, baby)
Do you know he begged to stay with me? (Oh, baby)
He wasn't man enough for me (I said he used to follow me)
What are you thinkin'? (Yeah)
Did you know about us back then? (Callin' me all night long)
Do you know I dumped your husband (Beggin' me to stay), girlfriend? (Yes, you did)
I'm not thinkin' 'bout him (And you've got him now)
But you married him (Ooh, babe)
Do you know I made him leave? (Oh-ooh, baby)
Do you know he begged to stay with me?
He wasn't man enough for me
What are you thinkin'? (Oh)
Did you know about us back then? (Oh, oh-oh)
Do you know I dumped your husband, girlfriend? (Yeah)
I'm not thinkin' 'bout him (Oh-ah)
But you married him (Callin' on the phone)
Do you know I made him leave? (Askin' me to come back home)
Do you know he begged to stay with me? (Beggin' me if he could stay, but he's not)
He wasn't man enough for me "
