Rank,Musica,Artista,Letra
1,Boom Boom Pow,The Black Eyed Peas," This a nitty beat
Hey Yea Say nitty lets gon on and take em back one time
(La la la la, la la la)
We just give em what they want you know
(la la la la, la la la la, go back way back go back go back)
Cuz ain't nobody cuz can't nobody do it like that you know
This a nitty beat
Uhh playin sonic on sega
I can take you back to the motorola pager (way back)
Out of work like craig on Friday (Friday)
But I get paid like everydays Friday
Brand new louie's brand new jordans
And I ain't got a job like tommy off maury
But me and nitty be off in the studio recordin
And I ride tracks like young Jeff Gordon
NASCAR.... And Yea I like this beat
So I be getting off like white boy feet (tryna dance)
Getting chose haters like why me
Cuz when I'm in the bed I'm Muhammad Ali
Beat that once, beat that twice, by the third time ya pussy prolly need ice
Ima young nigga wit a old man say
I can take ya back to ya very first bike
Chorus:
Ha yeaaa lil mama say what, (say what) all I gotta say is wassup
She know my name, errbody in the club they know my name
And they all showin love cuz they know my
Go back way back (4x)
Go go go back way back go go go back way back
(La la la la, la la la la)
Yea boy I take it back like this
Like will smith and a fresh prince fit
Today Sunday the mall close at six
It's already five thirty gotta move quick
But I ain't even trippin ima still get chose
If I didn't have arms I could still pull hoes (yea buddy)
Cuz im fly you ain't heard I rock
I could pull a chick butt naked in some socks
I'm tho'ed off don't run me hot
Cuz my Glock pop like champagne tops
Boom Boom pow like the black eyed peas
Get a strip tease by a black Chinese girl
And im steady transcendin
Six figure check got my bank account pendin
Like thirty seven (thirty seven), thirty eight (thirty eight) im the zone forty five forty seven mike epps tone
-CHORUS-
I like a chick that thick off cabbage (I like that)
I like chick that can grind on a mattress (I like that)
I like a chick with a real big ass, but I rather have chick that can file my taxes (oh yea)
So dear ms secretary chick lemme be ya boss and you forever bein rich
Watch so icy and it's heavy on my wrist
Got me feelin like Denver when its February sixth (so cold)
Prime time click we like a rubber band
That's about to pop and yea we runnin in
Old school all the og's understand
I can take ya back make ya wanna do the runnin man
Mc hammer thats throw back, country grammer I know that
I'm gone like a woman when she fed up
I can take it back like a Danny Glover edge up (way back)"
2,Poker Face,Lady Gaga," 
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah

I wanna hold 'em like they do in Texas, please (Woo)
Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)

I wanna roll with him, a hard pair we will be (Woo)
A little gamblin' is fun when you're with me (I love it, woo)
Russian roulette is not the same without a gun
And baby, when it's love, if it's not rough, it isn't fun, fun

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
(Mum mum mum mah)
(Mum mum mum mah)

I won't tell you that I love you
Kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin', I'm just stunnin' with my love-glue-gunnin'
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
P-p-p-poker face, f-f-fuck her face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah)
P-p-p-poker face, f-f-fuck her face
(Mum mum mum mah) "
3,Just Dance,Lady Gaga," 
Truth!
RedOne
Konvict
Gaga (Oh-oh, eh)

I've had a little bit too much, much (Oh, oh, oh-oh)
All of the people start to rush (Start to rush by)
A dizzy twister dance, can't find my drink or man
Where are my keys? I lost my phone, phone (Oh, oh, oh-oh)

What's goin' on, on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool, what's the name of this club?
I can't remember, but it's alright, a-alright

Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just, j-j-just dance

Wish I could shut my playboy mouth (Oh, oh, oh-oh)
How'd I turn my shirt inside out? (Inside out, right)
Control your poison, babe, roses have thorns, they say
And they're all gettin' hosed tonight (Oh, oh, oh-oh)

What's goin' on, on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool, what's the name of this club?
I can't remember, but it's alright, a-alright

Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just, j-j-just

When I come through on the dance floor, checking out that catalogue (Hey)
Can't believe my eyes, so many women without a flaw (Hey)
And I ain't gon' give it up, steady, tryna pick it up like a call (Hey)
I'ma hit it, I'ma beat it up, latch onto it until tomorrow, yeah
Shorty, I can see that you got so much energy
The way you twirlin' up them hips 'round and 'round
And there is no reason at all why you can't leave here with me
In the meantime, stay, let me watch you break it down and
Dance
Gonna be okay, da-da-doo-doot-n (Oh)
Just dance (Ooh, yeah)
Spin that record, babe, da-da-doo-doot-n
Just dance (Ooh, yeah)
Gonna be okay, da-da-doo-doot-n (Ooh, yeah)
Just dance (Ooh, yeah)
Spin that record, babe, da-da-doo-doot-n
Just dance (Oh)
Gonna be okay, da-da-da-dance (Gonna be okay)
Dance, dance (Yeah)
Just, j-j-just dance (Oh)

Incredible
Amazing
Music
Woo!
Let's go!

Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Go, use your muscle, carve it out, work it, hustle
(I got it, just stay close enough to get it on)
Don't slow, drive it, clean it, Lysol, bleed it
Spend the last dough (I got it) in your pock-o (I got it)

Just dance
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n
Just dance (Baby)
Gonna be okay, da-da-doo-doot-n
Just dance
Spin that record, babe, da-da-doo-doot-n (Oh, baby, yeah)
Just dance
Gonna be okay (Spin that record, baby, yeah)
Da-da-da-dance, dance, dance
Just, j-j-just dance "
4,I Gotta Feeling,The Black Eyed Peas," 2000
#1 Breathe by Faith Hill vs. #4 I Wanna Know by Joe
#2 Smooth by Santana vs. #3 Maria Maria by Santana
2001
#1 Hanging By A Moment by Lifehouse vs. #4 Drops Of Jupiter (Tell Me) by Train
#2 Fallin' by Alicia Keys vs. #3 All For You by Janet Jackson
2002
#1 How You Remind Me by Nickelback vs. #4 Dilemma by Nelly
#2 Foolish by Ashanti vs. #3 Hot In Herre by Nelly
2003
#1 In Da Club by 50 Cent vs. #4 Crazy In Love by Beyoncé & Jay Z
#2 Ignition (Remix) by R. Kelly vs. #3 Get Busy by Sean Paul
2004
#1 Yeah! by Usher, Lil Jon, & Ludacris vs. #4 This Love by Maroon 5
#2 Burn by Usher vs. #3 If I Ain't Got You by Alicia Keys
2005
#1 We Belong Together by Mariah Carey vs. #4 Since U Been Gone by Kelly Clarkson
#2 Hollaback Girl by Gwen Stefani vs. #3 Let Me Love You by Mario
2006
#1 Bad Day by Daniel Powter vs. #4 You're Beautiful by James Blunt
#2 Temperature by Sean Paul vs. #3 Promiscuous by Nelly Furtado & Timbaland
2007
#1 Irreplaceable by Beyoncé vs. #4 Big Girls Don't Cry by Fergie
#2 Umbrella by Rihanna & Jay Z vs. #3 The Sweet Escape by Gwen Stefani
2008
#1 Low by Flo Rida vs. #4 Lollipop by Lil Wayne
#2 Bleeding Love by Leona Lewis vs. #3 No One by Alicia Keys
2009
#1 Boom Boom Pow by The Black Eyed Peas vs. #4 I Gotta Feeling by The Black Eyed Peas
#2 Poker Face by Lady Gaga vs. #3 Just Dance by Lady Gaga
2010
#1 Tik Tok by Ke$ha vs. #4 California Gurls by Katy Perry & Snoop Dogg
#2 Need You Now by Lady Antebellum vs. #3 Hey, Soul Sister by Train
2011
#1 Rolling In The Deep by Adele vs. #4 E.T. by Katy Perry & Kanye West
#2 Party Rock Anthem by LMFAO vs. #3 Firework by Katy Perry
2012
#1 Somebody That I Used To Know by Gotye & Kimbra vs. #4 Payphone by Maroon 5
#2 Call Me Maybe by Carly Rae Jepsen vs. #3 We Are Young by fun.
2013
#1 Thrift Shop by Macklemore & Ryan Lewis vs. #4 Harlem Shake by Bauuer
#2 Blurred Lines by Robin Thicke vs. #3 Radioactive by Imagine Dragons
2014
#1 Happy by Pharrell Williams vs. #4 Fancy by Iggy Azalea & Charli XCX
#2 Dark Horse by Katy Perry & Juicy J vs. #3 All Of Me by John Legend
2015
#1 Uptown Funk by Mark Ronson & Bruno Mars vs. #4 Trap Queen by Fetty Wap
#2 Thinking Out Loud by Ed Sheeran vs. #3 See You Again by Wiz Khalifa & Charlie Puth "
5,Love Story,Taylor Swift," 
We were both young when I first saw you
I close my eyes and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know

That you were Romeo, you were throwing pebbles
And my daddy said, ""Stay away from Juliet""
And I was crying on the staircase
Begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""

So I sneak out to the garden to see you
We keep quiet 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh, oh

'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was begging you, ""Please don't go,"" and I said

Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""

Oh, oh

But I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town and I said

""Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think""
He knelt to the ground and pulled out a ring, and said
""Marry me, Juliet, you'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say 'Yes'""
Oh, oh, oh
Oh, oh, oh
'Cause we were both young when I first saw you "
6,Right Round,Flo Rida," 
You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

Hey, walk out of the house with my swagger
Hop in, there we go, I got places to go
People to see, time is precious
I look at my Cartier, outta control
Just like my mind where I'm goin'
No women, no shorties, no nothin' but clothes
No stoppin' now, my Pirellis on roll
I like my jewelry that's always on gold
I know the storm is comin'
My pockets keep tellin' me it's gonna shower
Call up my homies
It's on and poppin tonight 'cause it's meant to be ours
We keep a fadeaway shot
'Cause we be ballin', it's platinum Patron that be ours
Lil' mama, I owe you just like the flowers
Girl, you the truth with all of that goody power, 'cause

You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down
From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down

Hey, shawty must know I'm the man
My money love her like a number one fan
Don't open my mouth, let her talk to my bands
My Benjamin Frank-a-lins
A couple of grands, I got rubberbands
My paper planes making her dance
Get dirty all night, that's part of my plan
We building castles that's made out of sand
She's amazing, her fire blazing, hotter than cajun
Girl, won't you move a lil' closer?
Time to get paid, it's maximum wage
That body belongs on a poster
I'm in a daze, that bottom is waving at me
Like, dammit, I know you
Doing a show like a gun out of holster
Tell me whatever then I'll be your chauffeur, 'cause
You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down

From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down
From the top of the pole I watch her go down
She got me throwing my money around
Ain't nothing more beautiful to be found
It's going down, down

Yeah, I'm spending my money (Hey)
I'm outta control (Hey)
Somebody help me
She's taking my bank roll
But I'm king of the club (Hey)
And I'm wearing the crown
Popping these bottles, touching these models
Watching they asses go down, down
You spin my head right round, right round
When you go down, when you go down, down
You spin my head right round, right round
When you go down, when you go down, down (Hey)
You spin my head right round, right round (Hey)
When you go down, when you go down, down (Hey)
You spin my head right round, right round (Hey)
When you go down, when you go down, down (Hey) "
7,I'm Yours,Jason Mraz," 
Well you done done me in; you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back
Before the cool done run out
I'll be giving it my bestest
Nothing's going to stop me but divine intervention
I reckon it's again my turn to win some or learn some

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find
Love, love, love, love
Listen to the music of the moment, people dance and sing
We're just one big family
And it's our God-forsaken right to be
Loved, love, love, love, loved

So I won't hesitate no more, no more
It cannot wait, I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours

Do you want to come on scootch on over closer, dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed
I guess what I be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate no more, no more
It cannot wait – I'm yours
Well open up your mind and see like me (I won't hesitate)
Open up your plans and damn you're free (No more, no more)
Look into your heart and you'll find (It cannot wait)
The sky is yours (I'm sure)
So please don't, please don't, please don't (No need to complicate)
There's no need to complicate (Our time is short)
'Cause our time is short (This is)
This oh, this oh, this is our fate (our fate)
I'm yours "
8,Single Ladies Put a Ring on It,Beyonce,"

All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies
Now put your hands up

Up in the club (Club), we just broke up (Up)
I'm doin' my own lil' thing
You decided to dip (Dip) and now you wanna trip (Trip)
'Cause another brother noticed me
I'm up on him (Him), he up on me (Me)
Don't pay him any attention
'Cause I cried my tears (Tears), gave ya three good years (Years)
You can't be mad at me

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it

I got gloss on my lips (Lips), a man on my hips (Hips)
On me tighter than my Deréon jeans
Actin' up (Up), drink in my cup (Cup)
I can care less what you think
I need no permission, did I mention?
Don't pay him any attention
'Cause you had your turn (Turn) and now you gon' learn
What it really feels like to miss Bey

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
'Cause if you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Don't treat me to these things of the world
I'm not that kind of girl
Your love is what I prefer, what I deserve
Here's a man that makes me then takes me (Ah)
And delivers me to a destiny
To infinity (Infinity) and beyond (And beyond)
Pull me (Pull me in) into your arms (To your arms)
Say I'm the one you want (Ah, I'm the one you want)
If you don't, you'll be alone
And like a ghost, I'll be gone
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies (All the single ladies)
All the single ladies
Now put your hands up
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Woah-oh-oh

'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh
'Cause if you like it, then you should've put a ring on it
If you like it, then you should've put a ring on it
Don't be mad once you see that he want it
If you like it, then you should've put a ring on it
Woah-oh-oh "
9,Heartless,Kanye West," 
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

How could you be so
Cold as the winter wind when it breeze, yo?
Just remember that you talkin' to me though
You need to watch the way you talkin' to me, yo
I mean, after all the things that we been through
I mean, after all the things we got into
Ayo, I know of some things that you ain't told me
Ayo, I did some things but that's the old me
And now you wanna get me back and you gon' show me
So you walk around like you don't know me
You got a new friend, well, I got homies
But in the end, it's still so lonely

In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

How could you be so Dr. Evil?
You're bringin' out a side of me that I don't know
I decided we wasn't gon' speak so
Why we up 3 AM on the phone?
Why do she be so mad at me fo'?
Homie, I don't know, she's hot and cold
I won't stop, won't mess my groove up
‘Cause I already know how this thing go
You run and tell your friends that you're leavin' me
They say that they don't see what you see in me
You wait a couple of months, then you gon' see
You'll never find nobody better than me

In the night, I hear 'em talk (Me)
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless?
Oh, how could you be so heartless?

Talk and talk and talk and talk
Baby, let's just knock it off
They don't know what we been through
They don't know 'bout me and you
So I got somethin' new to see
And you just gon' keep hatin' me
And we just gon' be enemies
I know you can't believe
I could just leave it wrong
And you can't make it right
I'm gon' take off tonight into the night
In the night, I hear 'em talk
The coldest story ever told
Somewhere far along this road
He lost his soul to a woman so heartless
How could you be so heartless? (How, how?)
Oh, how could you be so heartless?

On and on and on and on
And on and, and on and on and on "
10,Gives You Hell,The All-American Rejects," 
I wake up every evenin'
With a big smile on my face
And it never feels outta place
And you're still probably workin'
At a 9 to 5 pace
I wonder how bad that tastes

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell

Now where's your picket fence, love?
And where's that shiny car?
And did it ever get you far?
You never seemed so tense, love
I've never seen you fall so hard
Yeah, do you know where you are?

And truth be told, I miss you
And truth be told, I'm lyin'

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell
If you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well, hope it gives you hell
I hope it gives you hell

Tomorrow, you'll be thinkin' to yourself
""Yeah, where did it all go wrong?""
But the list goes on and on

And truth be told, I miss you
And truth be told, I'm lyin'

When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell
When you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well, hope it gives you hell

Now you'll never see what you've done to me
You can take back your memories, they're no good to me
And here's all your lies, you can look me in the eyes
With the sad, sad look that you wear so well
When you see my face, hope it gives you hell, hope it gives you hell
When you walk my way, hope it gives you hell, hope it gives you hell
When you find a man that's worth a damn and treats you well
Then he's a fool, you're just as well, hope it gives you hell
When you see my face, hope it gives you hell, hope it gives you hell (Hope it gives you hell!)
When you walk my way, hope it gives you hell, hope it gives you hell (Hope it gives you hell)
When you hear this song and you sing along, no, you'll never tell (No, you'll never tell)
Then you're the fool, I'm just as well, hope it gives you hell (Hope it gives you hell)

When you hear this song, I hope that it will give you hell
(Hope it gives you hell)
You can sing along, I hope that it puts you through hell "
