Rank,Musica,Artista,Letra
1,Bad Day,Daniel Powter," 
Where is the moment we needed the most?
You kick up the leaves and the magic is lost
They tell me your blue skies fade to gray
They tell me your passion's gone away
And I don't need no carryin' on

You stand in the line just to hit a new low
You're faking a smile with the coffee to go
You tell me your life's been way off line
You're falling to pieces every time
And I don't need no carryin' on

Because you had a bad day, you're taking one down
You sing a sad song just to turn it around
You say you don't know, you tell me, don't lie
You work at a smile and you go for a ride
You had a bad day, the camera don't lie
You're coming back down and you really don't mind
You had a bad day
You had a bad day

Well, you need a blue sky holiday
The point is they laugh at what you say
And I don't need no carryin' on

You had a bad day, you're taking one down
You sing a sad song just to turn it around
You say you don't know, you tell me, don't lie
You work at a smile and you go for a ride
You had a bad day, the camera don't lie
You're coming back down and you really don't mind
You had a bad day
Ooh, a holiday

Sometimes, the system goes on the blink and the whole thing turns out wrong
You might not make it back and you know that you could be, well, oh, that strong
And I'm not wrong
Yeah, yeah, yeah

So where is the passion when you need it the most?
Oh, you and I
You kick up the leaves and the magic is lost

'Cause you had a bad day, you're taking one down
You sing a sad song just to turn it around
You say you don't know, you tell me, don't lie
You work at a smile and you go for a ride
You had a bad day, you've seen what you're like
And how does it feel? One more time
You had a bad day
You had a bad day (Ah, yeah, yeah)
Had a bad day (Ah, a holiday)
Had a bad day (Ah, yeah-yeah, yeah-yeah, yeah)
Had a bad day (Ah) "
2,Temperature,Sean Paul," 
Di gyaldem Schillaci, Chanderpaul
Suh mi give it to, suh mi give it to
Suh mi give it to, to all girls
Five million and forty naughty shorty
Baby girl, all my girls
All my girls, Chanderpaul seh

Well, woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh

Make I see di gyal dem breakout 'pon di floor
From you don't want no worthless performer (Oh-oh)
From you don't want no man weh can't turn you on
Gyal, make I see your hand dem up on ya (Oh-oh)
Can't tan 'pon it long, nah eat no yam
No steam fish, nor no green banana (Oh-oh)
But down in Jamaica, we give it to you hot like a sauna

Well, woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh

Bumper exposed and gyal, ya got your chest out
But you no wasters 'cause gyal, ya impress out (Oh-oh)
And if ya diss out a me, ya fi test out
'Cause I got the remedy fi make ya de-stress out (Oh-oh)
Mi haffi flaunt it, become a God bless out
And girl, if you want it, you haffi confess out (Oh-oh)
I no lie, weh we need, set speed
Haffi test the mattress out

Well woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh

Gyal, don't say me crazy now
This strange love it a no Brigitte and Flavor show (Oh-oh)
Time fi we make baby now
So stop, gwaan like you a actin' shady, yo (Oh-oh)
Woman, don't play me now
'Cause I no Fred Sanford, not Grady, yo (Oh-oh)
My lovin' is the way to go
My lovin' is the way to go
Well, woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh

When you roll with a player like me
With a bredda like me, gyal, there is no other (Oh-oh)
No need to talk it right here
Just park it right here, keep it undercover (Oh-oh)
From me love how you fit inna your blouse
And you fat inna your jeans and mi wan' discover (Oh-oh)
Everything 'bout you, baby girl
Can't you hear when me utter?

Well, woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh

Make I see di gyal dem breakout 'pon di floor
From you don't want no worthless performer (Oh-oh)
From you don't want no man weh can't turn you on
Gyal, make I see your hand dem up on ya (Oh-oh)
Can't tan 'pon it long, nah eat no yam
No steam fish, nor no green banana (Oh-oh)
But down in Jamaica, we give it to you hot like a sauna
Well, woman, the way the time cold, I wanna be keepin' you warm
I got the right temperature fi shelter you from the storm
Oh Lord, gyal, I got the right tactics to turn you on
And girl, I wanna be the papa, you can be the mom, oh-oh!

Oh-oh
Oh-oh
Oh-oh "
3,Promiscuous,Nelly Furtado," 
Am I throwin' you off?
Nope
Didn't think so

How you doin', young lady?
That feelin' that you're givin' really drives me crazy
You're dope, have a player 'bout to choke
I was at a loss for words first time that we spoke
You lookin' for a girl that'll treat you right?
You lookin' for her in the daytime with the light?
You might be the type if I play my cards right
I'll find out by the end of the night
You expect me to just let you hit it?
But will you still respect me if you get it?
All I can do is try, gimme one chance (Chance)
What's the problem? I don't see the ring on your hand (Hand)
I'll be the first to admit it
I'm curious about you, you seem so innocent
You wanna get in my world, get lost in it?
Boy, I'm tired of runnin', let's walk for a minute

Promiscuous girl, wherever you are
I'm all alone, and it's you that I want
Promiscuous boy, you already know
That I'm all yours, what you waitin' for?
Promiscuous girl, you're teasin' me
You know what I want, and I got what you need
Promiscuous boy, let's get to the point
'Cause we're on a roll, you ready?

Roses are red, some diamonds are blue
Chivalry is dead, but you're still kinda cute
Hey, I can't keep my mind off you
Where you at? Do you mind if I come through?
I'm out of this world, come with me to my planet
Get you on my level, do you think that you can handle it?
They call me Thomas, last name Crown
Recognize game, I'ma lay mine's down
I'm a big girl, I can handle myself
But if I get lonely, I'ma need your help
Pay attention to me, I don't talk for my health
I want you on my team -- So does everybody else
Shh, baby, we can keep it on the low (Low)
Let your guard down, ain't nobody gotta know (Know)
If you with it, girl, I know a place we can go
What kind of girl do you take me for?

Promiscuous girl, wherever you are
I'm all alone, and it's you that I want
Promiscuous boy, you already know
That I'm all yours, what you waitin' for?
Promiscuous girl, you're teasin' me
You know what I want, and I got what you need
Promiscuous boy, let's get to the point
'Cause we're on a roll, you ready?
Don't be mad, don't get mean
Don't get mad, don't be mean
Hey, don't be mad, don't get mean
Don't get mad, don't be mean

Wait, I don't mean no harm
I can see you with my t-shirt on
I can see you with nothin' on
Feelin' on me before you bring that on
Bring that on?! -- You know what I mean
Girl, I'm a freak, you shouldn't say those things
I'm only tryna get inside of your brain
To see if you can work me the way you say
It's okay, it's alright
I got somethin' that you gon' like
Hey, is that the truth or are you talkin' trash?
Is your game M.V.P like Steve Nash?

Promiscuous girl, wherever you are
I'm all alone, and it's you that I want
Promiscuous boy, I'm callin' your name
But you're drivin' me crazy the way you're makin' me wait
Promiscuous girl, you're teasin' me
You know what I want, and I got what you need
Promiscuous boy, we're one and the same
So we don't gotta play games no more
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Mm, mm, mm, mm
Mm, mm, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah
Eh-eh, eh-eh, ah-ah-ah "
4,You're Beautiful,James Blunt," 
My life is brilliant
My life is brilliant
My love is pure
I saw an angel
Of that I'm sure
She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan
You're beautiful
You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

Yes, she caught my eye
As I walked on by
She could see from my face that I was
Fucking high
And I don't think that I'll see her again
But we shared a moment that will last till the end

You're beautiful
You're beautiful
You're beautiful, it's true
I saw your face in a crowded place
And I don't know what to do
'Cause I'll never be with you

Ba, la, la, na
Ba, la, la, na
Ba, la, la, na, na

You're beautiful
You're beautiful
You're beautiful, it's true
There must be an angel with a smile on her face
When she thought up that I should be with you

But it's time to face the truth
I will never be with you "
5,Hips Don't Lie,Shakira,"
Ladies up in here tonight
No fightin' (We got the refugees up in here)
No fightin'
No fightin'
Shakira, Shakira

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh; yeah)
You make a woman go mad (Oh)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body (Uno, dos, tres, cuatro)
No fightin'

I'm on tonight
You know my hips don't lie (No fighting)
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby? This is perfection

Hey, girl, I can see your body moving
And it's driving me crazy (Huh-uh)
And I didn't have the slightest idea
Until I saw you dancin' (Yeah)
And when you walk up on the dance floor, nobody cannot ignore
The way you move your body, girl (Just smooth)
And everything's so unexpected, the way you right and left it
So you can keep on shakin' it (Let's go)

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh; oh)
You make a woman go mad (So bad; oh)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body
No fightin'

I'm on tonight
You know my hips don't lie (No fightin')
And I'm starting to feel you, boy (Yeah)
Come on, let's go, real slow
Don't you see, baby? Así es perfecto
They know I'm on tonight (Yeah)
My hips don't lie and I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby? This is perfection (Shakira, Shakira)

Oh, boy, I can see your body movin', half-animal, half-man
I don't, don't really know what I'm doin'
But you seem to have a plan (Yeah)
My will and self-restraint have come to fail now, fail now
See, I'm doing what I can, but I can't, so, you know
That's a bit too hard to explain (Uno, dos, tres, cuatro)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish (Yeah)
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh) (Oh)
You know you got me hypnotized (Oh)
So be wise (¡Sí! Uh), and keep on (¡Sí! Uh)
Readin' the signs of my body (Yeah)

Señorita, feel the conga
Let me see you move like you come from Colombia
Yeah, oh, yeah, ladies, ¡sí! (Yeah, yeah, hey, yeah)
Mira, en Barranquilla se baila así, say it! (Yeah)
En Barranquilla se baila así (Yeah)
Ayy (Prr), yeah

She's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country (Huh-uh)
I go back like when 'Pac carried crates for Humpty Humpty
We leave the whole club jazzy
Why the CIA wanna watch us?
It's the Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo-bop-so-bop, no more do we snatch ropes
Refugees run the seas, 'cause we own our own boats, boats (No fightin')
I'm on tonight
My hips don't lie, and I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto (No fighting)
Oh, you know I'm on tonight
My hips don't lie, and I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection

No fightin'
No fightin' "
6,Unwritten,Natasha Bedingfield,"
I am unwritten
Can't read my mind
I'm undefined
I'm just beginning
The pen's in my hand
Ending: unplanned

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you cannot find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten

Yeah
Oh, oh

I break tradition
Sometimes my tries
Are outside the lines, yeah, yeah
We've been conditioned
To not make mistakes
But I can't live that way, no, oh

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you cannot find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
Woah
Ooh, oh, woah
Oh
Ooh, ooh, ooh, yeah

Staring at the blank page before you
Open up the dirty window
Let the sun illuminate the words that you cannot find
Reaching for something in the distance
So close you can almost taste it
Release your inhibitions

Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
Feel the rain on your skin
No one else can feel it for you
Only you can let it in
No one else, no one else
Can speak the words on your lips
Drench yourself in words unspoken
Live your life with arms wide open
Today is where your book begins
The rest is still unwritten
The rest is still unwritten
The rest is still unwritten
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah "
7,Crazy,Gnarls Barkley," 
I remember when
I remember, I remember when I lost my mind
There was something so pleasant about that place
Even your emotions have an echo, in so much space, mmm
And when you're out there without care
Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too much, mm

Does that make me crazy?
Does that make me crazy?
Does that make me crazy?
Possibly

And I hope that you are having the time of your life
But think twice, that's my only advice, mm
Come on now, who do you
Who do you, who do you, who do you think you are?
Ha, ha, ha, bless your soul
You really think you're in control?

Well, I think you're crazy
I think you're crazy
I think you're crazy
Just like me

My heroes had the heart to lose their lives out on the limb
And all I remember is thinkin' I wanna be like them, mm-hmm
Ever since I was little
Ever since I was little, it looked like fun
And it's no coincidence I've come
And I can die when I'm done

But maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably

Mm-woah, ooh
Ooh, woo-ooh
Ooh, ooh
Ooh-hoo, mm-hmm "
8,Ridin',Chamillionaire,"
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty

Grindin' to see if they can see me lean
I'm tint, so it ain't easy to be seen
Police see me ride by, they can see me gleam
And my shine on the deck and the TV screen
I'm ridin' with a new chick, she like, ""Hold up!""
Next to the PlayStation controller
It's a full clip in my pistola
Send a jacker into a coma (Woo!)
Girl, you ain't know, I'm crazy like Krayzie Bone
Just tryna bone, ain't tryna have no babies
Ride clean as hell so I pull in ladies
Law's on patrol and you know they hate me
Music turned all the way up into the maximum
I got speakers, some niggas tryna jack for some
But we packin' somethin' and what we have for 'em
We'll have a nigga locked up in the maximum
Security cell, I'm grippin' oak (Oak)
Music loud and I'm tippin' slow (Slow)
Twin's steady twistin' like, ""Hit this though!""
Police pull up right behind and it's in his throat
The windows down, got to stop pollution
CD change, niggas like, ""Who is that producin'?""
That's the Play-N-Skillz when we out and cruisin'
Got warrants in every city except Houston but I still ain't losin'

They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty

I've been drinkin' and smokin'
Holy shit, cause I really can't focus
I gotta get it home 'fore the po-po's scope this
Big old Excurs' just swervin', all up in the curb and
Nigga be sippin' on the Hennessy and the gin again
It's in again, we in the wind
Doin' a hundred while I puff on a blunt and roll another one up
We livin' like we ain't givin' a fuck
I got a blunt up in my right hand
40-ounce in my lap freezin' my balls
Roll another tree, green leaves and all
Comin' pretty deep, me and my dawgs
Yo, I gotta hit the back streets
Wonderin' 'bout the six pounds and I got heat
Glock, Glock shots to the block, we creep-creep
Pop-pop, hope cops don't see me, on the lowkey
With no regard for the law
We dodge 'em like, ""Fuck 'em all""
But I won't get caught up and brought up
On charges for none of y'all
Keep a gun in car, and a blunt to spark
Roll it up if you want, and get it poppin', dawg
Ready or not, we bust shots off in the air
Krayzie Bone and Chamillionaire
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty

Now would you think it's so? I tried to let you go
Turn on my blinker light and then I swang it slow
And they upset for sho', 'cause they think they know
That they catchin' me with plenty of the drank and dro
So they get behind me, tryna check my tags
Look in my rearview and they smilin'
Thinkin' they'll catch me in the wrong, they keep tryin'
Keep steady denyin' that it's racial profilin'
Houston, Texas, you can check my tags (Tags)
Pull me over, try to check my slab (Slab)
The glove compartment, gotta get my cash
Cause the crooked cops'll try to come up fast
And bein' the baller that I am, I talk to them
Givin' a damn about them not feelin' my attitude
When they realize I ain't even ridin' dirty
Bet you'll be leavin' with an even madder mood
I'ma laugh at you and then I'll have to cruise
Jammin' number two on some old DJ Screw
You can't arrest me, plus you can't sue
This is a message to the law, tell 'em, ""We hate you""
I can't be touched and tell 'em that they shoulda known
Tippin' down, I'm sittin' crooked on my chrome
Bookin' my phone, findin' a chick I wanna bone
Like they couldn't stop me, I'm 'bout to pull up at your home
And it's on
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
They see me rollin', they hatin'
Patrollin' and tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
My music's so loud, I'm swangin'
They hopin' that they gon' catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty
Tryna catch me ridin' dirty, tryna catch me ridin' dirty "
9,SexyBack,Justin Timberlake," 
I'm bringin' sexy back (Yeah)
Them other boys don't know how to act (Yeah)
I think it's special, what's behind your back? (Yeah)
So turn around and I'll pick up the slack (Yeah)
Take it to the bridge, c'mon (Listen)

Dirty babe (Uh-huh)
You see these shackles, baby, I'm your slave (Uh-huh)
I'll let you whip me if I misbehave (Uh-huh)
It's just that no one makes me feel this way (Uh-huh)
Take it to the chorus

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on

I'm bringin' sexy back (Yeah)
Them other fuckers don't know how to act (Yeah)
Girl, let me make up for the things you lack (Yeah)
'Cause you're burnin' up, I gotta get it fast (Yeah)
Take it to the bridge, ha (Listen)

Dirty babe (Uh-huh)
You see these shackles, baby, I'm your slave (Uh-huh)
I'll let you whip me if I misbehave (Uh-huh)
It's just that no one makes me feel this way (Uh-huh)
Take it to the chorus, ha

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha
You ready?
You ready?
You ready?
Uh (Yes)

I'm bringin' sexy back (Yeah)
You motherfuckers watch how I attack (Yeah)
If that's your girl, better watch your back (Yeah)
'Cause she'll burn it up for me, and that's a fact (Yeah)
Take it to the chorus, ha

Come here, girl (Go 'head, be gone with it)
Come to the back (Go 'head, be gone with it)
VIP (Go 'head, be gone with it)
Drinks on me (Go 'head, be gone with it)
Let me see what you're twerkin' with (Go 'head, be gone with it)
Look at those hips (Go 'head, be gone with it)
You make me smile (Go 'head, be gone with it)
Go 'head, child (Go 'head, be gone with it)
And get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on, ha (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on (Go 'head, be gone with it)
Get your sexy on
You ready? (Yes)
You ready? (Yes)
(Yes) "
10,Check on It,Beyonce," 
Swizz Beatz
DC, Destiny Child (Slim Thuga)

You need to stop playin' 'round with all them clowns and the wankstas (Huh)
Good girls gotta get down with the gangstas (With the gangstas)
Go 'head, girl, put some back and some neck up on it (Neck up on it)
While I stand up in the background and check up on it

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight

If you got it, flaunt it, boy, I know you want it (Ooh)
While I turn around (You), you watch me check up on it
Ooh, you watchin' me shake it, I see it in your face
Ya can't take it, it's blazin', you watch me in amazement
You can look at it, as long as you don't grab it (Ooh)
If you don't go braggin' (You), I might let you have it
You think that I'm teasin', but I ain't got no reason
I'm sure that I can please ya, but first I gotta read you

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight

I can tell you wanna taste it, but I'm gon' make you chase it (Ooh)
You've got to be patient (You), I like my men patient
More patience, you take my get you in more places
You can't be abrasive, has to know to pace it
If I let you get up on it, you gotta make a promise (Ooh)
That you gon' put it on me (You) like no one's put it on me
Don't bore me, just show me (No), all men talk, but don't please
I can be a tease, but I really wanna please you
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it
Check on me tonight
Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it (Ha)
Check on me tonight

Well, it's the King of the Underground and the King of the Trill (Trill)
Standin' on the top of the South like the King of the Hill
You're tuned into a winner that's never takin' a loss (Loss)
Reppin' Houston with Beyoncé and Slim Thug, the Boss
Diamonds on the wood peel, I'm a Dirty South soldier
Draped up in that Crown Holder, thought I told ya (Thought I told ya)
I like your wiggle and the way that you work it
But no touchin', just watchin' you twerk it
I'm checkin' up on you tonight (Yeah)
Ooh, boy, you lookin' like you like what you see (Yeah, yeah)
Won't you come over and check up on it
I'ma let you work up on it (All my ladies)
Ladies, let 'em check up on it
Watch it while he check up on it
Dip it, pop it, twerk it, stop it (Yeah)
Check on me tonight (Na-na-na-na-na)

(Check on it, check on it)
Ooh, boy, you lookin' like you like what you see (Woo)
(Check on it, check on it)
Won't you come over and check up on it (Ooh)
I'ma let you work up on it (Yeah)
(Check on it, know you want it)
Ladies, let 'em check up on it (Yeah)
Watch it while he check up on it
(Check on it, hey)
Dip it, pop it, twerk it, stop it
Check on me tonight (Hey)

Ooh, boy, you lookin' like you like what you see
Won't you come over and check up on it
I'ma let you work up on it (You so sexy, boy)
Ladies, let 'em check up on it
Watch it while he check up on it (And I know you want it)
Dip it, pop it, twerk it, stop it
Check on me tonight (So baby, check up on me)
Ooh, boy, you lookin' like you like what you see (He havin' such a good time)
Won't you come over and check up on it
I'ma let you work up on it (I'm gonna work it, baby, you're mine)
Ladies, let 'em check up on it
Watch it while he check up on it (All mine, all mine)
Dip it, pop it, twerk it, stop it
Check on me tonight "
