Rank,Musica,Artista,Letra
1,Irreplaceable,Beyonce," 
To the left, to the left
To the left, to the left
Mm

To the left, to the left
Everything you own in the box to the left
In the closet, that's my stuff
Yes, if I bought it, nigga, please don't touch (Don't touch)
And keep talkin' that mess, that's fine
But could you walk and talk at the same time?
And, it's my name that's on that Jag
So remove your bags, let me call you a cab

Standin' in the front yard
Tellin' me how I'm such a fool
Talkin' 'bout how I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me
I can have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable

So go ahead and get gone
Call up that chick and see if she's home
Oops, I bet you thought that I didn't know
What did you think I was puttin' you out for?
Because you was untrue
Rollin' her 'round in the car that I bought you
Baby, drop them keys
Hurry up before your taxi leaves

Standin' in the front yard
Tellin' me how I'm such a fool
Talkin' 'bout how I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me (Me)
I will have another you by tomorrow
So don't you ever for a second get to thinking
You're irreplaceable (Irreplaceable)
So since I'm not your everything (Irreplaceable)
How about I'll be nothing (Nothing)
Nothing at all to you (Nothing)
Baby, I won't shed a tear for you (I won't shed a tear)
I won't lose a wink of sleep
'Cause the truth of the matter is
Replacing you was so easy

To the left, to the left
To the left, to the left
Mm
To the left, to the left
Everything you own in the box to the left
To the left, to the left
Don't you ever for a second get to thinking
You're irreplaceable

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter of fact, he'll be here in a minute, baby
You must not know 'bout me
You must not know 'bout me (Me)
I can have another you by tomorrow
So don't you ever for a second get to thinking
You must not know 'bout me (Baby, yeah)
You must not know 'bout me (Yeah)
I could have another you in a minute
Matter of fact, he'll be here in a minute
You can pack all your bags, we're finished
(You must not know 'bout me)
'Cause you made your bed, now lay in it
(You must not know 'bout me, me)
I can have another you by tomorrow
Don't you ever for a second get to thinking
You're irreplaceable "
2,Umbrella,Rihanna," 
Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (Good Girl Gone Bad)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

No clouds in my stones
Let it rain, I hydroplane in the bank
Comin' down with the Dow Jones (Ayy, ayy, ayy)
When the clouds come, we go, we Roc-A-Fella (Ayy-ayy-ayy, ayy)
We fly higher than weather, in G5's or better
You know me (You know me)
In anticipation for precipitation, stack chips for the rainy day
Jay, Rain Man is back (Ayy-ayy-ayy, ayy)
With Little Miss Sunshine, Rihanna, where you at?  (Ayy-ayy-ayy, ayy)

You have my heart, and we'll never be worlds apart
May be in magazines but you'll still be my star
Baby, 'cause in the dark, you can't see shiny cars
And that's when you need me there
With you, I'll always share because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together, we'll mend your heart because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy
You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So, gonna let the rain pour
I'll be all you need and more because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy, ayy, ayy, ayy

It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come into me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me "
3,The Sweet Escape,Gwen Stefani ," 
Konvict, Konvict, Konvict
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo
Woo-hoo, yee-hoo

If I could escape, I would
But first of all, let me say
I must apologize for acting stank and treating you this way
'Cause I've been acting like sour milk all on the floor
It's your fault, you didn't shut the refrigerator
Maybe that's the reason I've been acting so cold

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away) to our sweet escape (Sweet escape)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away), yeah (Yeah)

You melt me down, I'm at my lowest boiling point
Come help me out, I need to get me out of this joint
Come on, let's bounce, counting on you to turn me around
Instead of clowning around, let's look for some common ground
So baby, times get a little crazy
I've been gettin' a little lazy
Waitin' on you to come save me
I can see that you're angry by the way that you treat me
Hopefully you don't leave me, wanna take you with me

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
If I could escape
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
If I could escape
'Cause I've been acting like sour milk all on the floor
It's your fault you didn't shut the refrigerator
Maybe that's the reason I've been acting so cold

If I could escape (Escape)
And recreate a place that's my own world (Own world)
And I could be your favorite girl (Forever), perfectly together
And tell me boy, now, wouldn't that be sweet? (Sweet escape)
If I could be sweet (Be sweet)
I know I've been a real bad girl (I'll try to change)
I didn't mean for you to get hurt (Whatsoever)
We can make it better
And tell me, boy, now, wouldn't that be sweet? (Sweet escape, sweet escape)

(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away) to our sweet escape (Sweet escape)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
I wanna get away (Get away), yeah (Yeah)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo)
(Woo-hoo, yee-hoo, woo-hoo, yee-hoo) "
4,Big Girls Don't Cry,Fergie,"
Na, na, na, na
The smell of your skin lingers on me now
You're probably on your flight back to your hometown
I need some shelter of my own protection, baby
Be with myself and center
Clarity, peace, serenity

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We got some straightening out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry
Don't cry, don't cry, don't cry

The path that I'm walkin', I must go alone
I must take the baby steps till I'm full-grown, full-grown
Fairy tales don't always have a happy ending, do they?
And I foresee the dark ahead, if I stay

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We got some straightening out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry

Like the little schoolmate in the school yard
We'll play jacks and UNO cards
I'll be your best friend, and you'll be my valentine
Yes, you can hold my hand if you want to
'Cause I want to hold yours too
We'll be playmates and lovers
And share our secret worlds
But it's time for me to go home
It's getting late and dark outside
I need to be with myself and center
Clarity, peace, serenity

I hope you know, I hope you know
That this has nothing to do with you
It's personal, myself and I
We got some straightening out to do
And I'm gonna miss you like a child misses their blanket
But I've got to get a move on with my life
It's time to be a big girl now
And big girls don't cry
Don't cry, don't cry, don't cry"
5,Buy U a Drank Shawty Snappin',T-Pain ,"
(Shawty snap)
Yeah, T-Pain
(Damn, shawty snap)
Shawty, Yung Joc
(Shawty Snappin')
Yeah, yeah, yeah, ayy, ayy, she snappin'
Ooh-ooh-ooh, ooh-ooh-ooh,  ooh-ooh-ooh
Yeah, snap yo' fingers, do yo' step
You can do it all by yourself (Woo!)
Baby girl, what's your name?
Let me talk to you, let me buy you a drank
I'm T-Pain, you know me
Konvict Muzic, Nappy Boy, ooh wee
I know the club close at three
What's the chances of you rollin' with me?
Back to the crib, show you how I live
Let's get drunk, forget what we did

I'ma buy you a drank
And then I'ma take you home with me
I got money in the bank
Shawty, what you think 'bout that?
I'll be in the grey Cadillac
We in the bed like, ooh, ooh, ooh, woah, woah, ooh, ooh
We in the bed like, ooh, ooh, woah, ooh, woah, woah, ooh, ooh, woah

Talk to me, I talk back
Let's talk money, I talk that
Crunk juice bombs, Oakley shades
Shawty got class, oh behave
Let's get gone, walk it out (Now walk it out)
Just like that, that's what I'm talkin' 'bout
We gon' have fun, you gon' see
On that Patrón you should get like me

I'ma buy you a drank, woah, oh-ooh, woah
And then I'ma take you home with me
I got money in the bank
Shawty, what you think 'bout that?
I'll be in the grey Cadillac
We in the bed like, ooh, ooh, ooh, woah, woah, ooh, ooh
We in the bed like, ooh, ooh, woah, ooh, woah, woah, ooh, ooh, woah

Won't you meet me at the bar, respect big pimpin'
Tell me how you feel, mama tell me what you sippin'
A certified dime piece, deserve Louis one three
One fifty a shot, three for you and three for me
I'm checking your body language, I love the conversation
And when you lick your lips I get a tingling sensation
Now were both 'bout tipsy, you say you in the mood
All I need is 'bout a hour, better yet maybe two
Let me take you where I live, Ferrari switch gears
When I whisper in your ear, your legs hit the chandelier
Passion fruit and sex all in the atmosphere
I'ma let T-Pain sing it so he can make it clear
I'ma buy you a drank, woah, oh-ooh, woah
And then I'ma take you home with me
I got money in the bank
Shawty, what you think 'bout that?
I'll be in the grey Cadillac
We in the bed like, ooh, ooh, ooh, woah, woah, ooh, ooh
We in the bed like, ooh, ooh, woah, ooh, woah, woah, ooh, ooh, woah

Let's get gone, walk it out
Now walk it out think about it, oh snap
Now rock, rock, rock, rock
You can do it all by yourself
Let's get gone, walk it out
Now walk it out think about it, oh snap
Now rock, rock, rock, rock
You can do it all by yourself

I'ma buy you a drank
And then I'ma take you home with me
I got money in the bank
Shawty, what you think 'bout that?
I'll be in the grey Cadillac
We in the bed like, ooh, ooh, ooh, woah, woah, ooh, ooh
We in the bed like, ooh, ooh, woah, ooh, woah, woah, ooh, ooh, woah "
6,Before He Cheats,Carrie Underwood," 
Right now, he's probably slow dancing
With a bleached-blonde tramp
And she's probably getting frisky
Right now, he's probably buying her some fruity little drink
'Cause she can't shoot a whiskey
Right now, he's probably up behind her with a pool-stick
Showing her how to shoot a combo
And he don't know

I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

Right now, she's probably up singing some
White-trash version of Shania karaoke
Right now, she's probably saying, ""I'm drunk""
And he's a thinking that he's gonna get lucky
Right now, he's probably dabbing on
Three dollars worth of that bathroom Polo
Oh, and he don't know

Oh, that I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

I might've saved a little trouble for the next girl
'Cause the next time that he cheats
Oh, you know it won't be on me
No, not on me

'Cause I dug my key into the side
Of his pretty little souped up four-wheel drive
Carved my name into his leather seats
I took a Louisville Slugger to both headlights
Slashed a hole in all four tires
Maybe next time, he'll think before he cheats

Oh, maybe next time, he'll think before he cheats
Oh, before he cheats
Oh "
7,Hey There Delilah,Plain White T's," 
Hey there, Delilah, what's it like in New York City?
I'm a thousand miles away, but girl, tonight, you look so pretty, yes you do
Times Square can't shine as bright as you
I swear it's true
Hey there, Delilah, don't you worry about the distance
I'm right there if you get lonely, give this song another listen, close your eyes
Listen to my voice, it's my disguise
I'm by your side

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me

Hey there, Delilah, I know times are gettin' hard
But just believe me, girl, someday I'll pay the bills with this guitar, we'll have it good
We'll have the life we knew we would
My word is good
Hey there, Delilah, I've got so much left to say
If every simple song I wrote to you would take your breath away, I'd write it all
Even more in love with me, you'd fall
We'd have it all

Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me

A thousand miles seems pretty far
But they've got planes, and trains, and cars
I'd walk to you if I had no other way
Our friends would all make fun of us
And we'll just laugh along because
We know that none of them have felt this way
Delilah, I can promise you
That by the time we get through
The world will never, ever be the same
And you're to blame

Hey there, Delilah, you be good and don't you miss me
Two more years and you'll be done with school, and I'll be making history like I do
You'll know it's all because of you
We can do whatever we want to
Hey there, Delilah, here's to you
This one's for you
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
Oh, it's what you do to me
What you do to me

Ho-oh, woah-oh, woah oh-oh oh-oh
Oh-oh, woah oh-oh oh woah
Oh oh-woah oh-oh, ooh-ooh, ooh-ooh "
8,I Wanna Love You,Akon ," 
Konvict
Konvict, Music, and you know we Upfront
I see you windin' and grindin' up on the floor
I know you see me lookin' at you and you already know
I wanna love you (Love you), you already know
I wanna love you (Love you), you already know, girl

Money in the air as mo' fell
Grab you by your coattail, take you to the motel, ho sale
Don't tell, won't tell
Baby say, ""I don't talk Dogg, then she told on me"", oh well
Take a picture with me, what the flick gon' do?
Baby, stick to me, and I'ma stick on you
If you pick me, then I'ma pick on you
D-O double G and I'm here to put this d— on you
I'm stuck on p— and yours is right
Rip ridin' the poles and them doors is tight
And I'ma get me a shot 'fo the end of the night
'Cause p— is p—, and baby, your p— for life

I see you windin' and grindin' up on the floor
I know you see me lookin' at you and you already know
I wanna love you (Love you), you already know
I wanna love you (Love you), you already know, girl

Shorty I can see, you ain't lonely
Handful of n— and they all got cheese
See you lookin' at me, now what it's gon' be?
Just another tease far as I can see
Tryna get you up out this club
If it means spendin' a couple dubs
Throwin' 'bout thirty stacks in the back
Make it rain like that 'cause I'm far from a scrub
And you know my pedigree
Ex-dealer use to move amphetamines
Girl I, spend money like it don't mean nothing
And besides, I got a thing for you

I see you windin' and grindin' up on the floor
I know you see me lookin' at you and you already know
I wanna love you (Love you), you already know
I wanna love you (Love you), you already know, girl

Mobbin' through the club and I'm low pressin'
I'm sittin' in the back in the smoker's section (Just smokin', just smokin')
Bird's eye, I got a clear view
You can't see me, but I can see you (Baby, I see you)
Hmm, it's cool, we jet, the mood is set
Your p— is wet, you're rubbin' your back and touchin' your neck (Yeah)
Your body is movin', you humpin' and jumpin' (Yeah)
Your t— is bouncin', you smilin' and grinnin' and lookin' at me
Girl, and while you're lookin' at me, I'm ready to hit the caddy
Right up on the patio, move the patty to the caddy
Baby, you got a phatty, the type I like to marry
Wantin' to just give you everything and that's kinda scary
'Cause I'm loving the way you shake your ass
Bouncin' got me tippin' my glass
Normally don't get caught up too fast
But I got a thing for you

I see you windin' and grindin' up on the floor
I know you see me lookin' at you and you already know
I wanna love you (Love you), you already know
I wanna love you (Love you), you already know
I see you windin' and grindin' up on the floor
I know you see me lookin' at you and you already know
I wanna love you (Love you), you already know
I wanna love you (Love you), you already know, girl, girl "
9,Say It Right,Nelly Furtado," 
Frk-frk-down
Hey
You don't mean nothin' at all to me
Hey, hey

In the day, in the night
Say it right, say it all
You either got it, or you don't
You either stand, or you fall
When your will is broken
When it slips from your hand
When there's no time for jokin'
There's a hole in the plan

Oh, you don't mean nothing at all to me (Hey, oh, oh, hey)
No, you don't mean nothing at all to me (Hey, oh, oh, hey)
But you got what it takes to set me free (Hey, oh, oh, hey)
Oh, you could mean everything to me (Hey, oh, oh, hey)

I can't say (Say) that I'm not (Not)
Lost (Lost) and at fault (Fault)
I can't say (Say) that I don't (Don't)
Love the light (Love) and the dark
I can't say that I don't (Don't)
Know that I am alive
And all of what I feel (Feel)
I could show (Show you) you tonight, you tonight

Oh, you don't mean nothing at all to me (Hey, oh, oh, hey)
No, you don't mean nothing at all to me (Hey, oh, oh, hey)
But you got what it takes to set me free (Hey, oh, oh, hey)
Oh, you could mean everything to me (Hey, oh, oh, hey)

From my hands I could give you
Something that I made
From my mouth, I could sing you another brick that I laid
From my body (From my body), I could show you (I could show you)
A place (A place) God knows (That only God knows)
You should know the space is holy (Ah-ah-ah-ah)
Do you really wanna go?
(Three, four)

Hey, hey, hey
You don't mean nothin' at all to me
Hey, hey
Hey, hey, hey
You don't mean nothin' at all to me
Hey, hey "
10,Glamorous,Fergie," 
Are you ready?

If you ain't got no money, take yo' broke ass home, you say it
""If you ain't got no money, take yo' broke ass home""

G-L-A-M-O-R-O-U-S, yeah
G-L-A-M-O-R-O-U-S

We flying first class, up in the sky
Poppin' champagne
Livin' my life in the fast lane
I won't change by the glamorous
Ooh, the flossy, flossy (Are you ready?)
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy

Wear them gold and diamond rings
All them things don't mean a thing
Chaperones and limousines
Shopping for expensive things
I be on the movie screens
Magazines and bougie scenes
I'm not clean, I'm not pristine
I'm no queen, I'm no machine
I still go to Taco Bell
Drive-through, raw as hell
I don't care, I'm still real
No matter how many records I sell
After the show, after the Grammys
I like to go cool out with the family
Sippin' and reminiscin'
On days when I had a Mustang
And now I'm

First class, up in the sky
Poppin' champagne
Livin' my life in the fast lane
I won't change by the glamorous
Ooh, the flossy, flossy (Are you ready?)
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy
I'm talking champagne wishes, caviar dreams
You deserve nothing but all the finer things
Now this whole world has no clue what to do with us
I've got enough money in the bank for the two of us
Plus I gotta keep enough lettuce to support your shoe fetish
Lifestyle so rich and famous, Robin Leach'll get jealous
Half a million for the stones
Taking trips from here to Rome
So if you ain't got no money, take yo' broke ass home

G-L-A-M-O-R-O-U-S, yes
G-L-A-M-O-R-O-U-S

Flyin' first class, up in the sky
Poppin' champagne
Livin' my life in the fast lane
I won't change by the glamorous
Ooh, the flossy, flossy
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy
The glamorous
The glamorous, glamorous
By the glamorous
Ooh, the flossy, flossy
I got problems up to here, I got people in my ear
Telling me these crazy thangs that I don't wanna know (Fuck y'all)
I got money in the bank, and I'd really like to thank
All the fans, I'd like to thank, thank you, really though
'Cause I remember yesterday, when I dreamt about them days
When I'd rock on MTV, that'd be really dope
Damn, it's been a long road, and the industry is cold
I'm glad my daddy told me so, he let his daughter know

(If you ain't got no money, take yo' broke ass home, you say it!)
My daddy told me so
(""If you ain't got no money, take yo' broke ass home!"")
He let his daughter know
(He said, ""If you ain't got no money, take yo' broke ass home, you say it!)
My daddy told me so
(""If you ain't got no money, take yo' broke ass home!"")
He let his daughter know "
